Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
1003727, Simulink.Timeseries objects are converted to doubles when using parfor,"When using Simulink.Timeseries objects in a parfor loop, they are converted to doubles. A typical situation in which this may occur is when Simulink.Timeseries objects and the models they are intended to be inputs for are inside a parfor loop. In this situation, the Simulink.Timeseries objects are converted to doubles. ","Starting in R1010b, you can use MATLAB timeseries objects instead of Simulink.Timeseries objects. Please see the MATLAB timeseries documenation for more information.Simulink.Timeseries objects are used when logging signals in ModelDataLogs format. The ModelDataLogs format is being phased out and replaced with Dataset format which uses MATLAB timeseries objects. Please refer the the section Migrate from ModelDataLogs to Dataset format in the documentation for more information.",Simulink,Other,R2010b,23 Oct 2013
751289, datcomimport function has problems reading certain DATCOM files,"When the datcomimport  function reads a DATCOM file that has a message at the end of a run, and that message contains the string vehicle weight , the function will generate the following warning: Warning: DATCOM file reader state inconsistent ","Installation instructionsLog in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Make a backup copy of each of the files listed in the .zip file: /toolbox/aero/aero/private/usafdatcom.pTo see the contents of the .zip file: Windows Systems*: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB><.zip file>Extract the files from the .zip file. Windows Systems*: Open the .zip file.Extract the contents of the file to your <MATLAB> folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>unzip <.zip file>Delete the .zip file in the <MATLAB> folder.*Notes for Windows Systems:If you see ¡°Error: Access is denied¡± when attempting to extract the .zip file, you may need to start ¡°WinZip¡± in administrator mode. Do this by navigating to WinZip.exe or the WinZip Start menu entry, right-clicking on it, and selecting ¡°Run as administrator¡±.From within WinZip, find and open the downloaded .zip file.Extract the contents of the file to your <MATLAB> folder.",Aerospace Toolbox,Other,R2010b,25 Jul 2011
731500, C++ functions generated as encapsulated class member functions might cause compiler errors,"The generated code might cause compilation errors, if You are generating code using C++ (Encapsulated)  as the code generation target language. Your model needs to generate utility functions from signal processing blocks, Stateflow charts, or MATLAB Function blocks.  Compilation errors occur when functions are incorrectly generated as encapsulated class member functions rather than as non-member functions with external linkage. One compiler error indicates that some utility functions are not C++ class member functions. In the generated code, the class definitions do not include the functions, but the function implementations are generated as if they are member functions. Another compiler error indicates that overloaded member functions with the same signature are present. In this case, the generated code includes overloaded functions with the same signature. The following example shows the code for the Random Source block in the DSP Toolbox: extern void RndTestModelClass::RandSrc_U_D(real_T y[], const real_T minVec[], int32_T minLen, const real_T maxVec[], int32_T maxLen, real_T state[], int32_T nChans, int32_T nSamps){ ... ","If the error occurs for functions generated for a Stateflow chart or a MATLAB function block:Right-click the chart or block and select Subsystem Parameters.On the Code Generation tab, set Function packaging to Reusable function.If the error occurs for functions generated for a signal processing block:Place the block inside a subsystem.Set the subsystem parameter Function packaging to Reusable function.?","Embedded Coder, Embedded IDE Link, Target Support Package",Other,R2010b,12 Oct 2011
694661, The Model Advisor returns the error message Abnormal exit: Index exceeds matrix dimensions when running checks on Relational Operator blocks,"The Model Advisor MAAB check Check for proper position of constants used in Relational Operator blocks  (Modeling Guidelines jc_0131), DO-178B check Check for proper usage of Relational Operator blocks,  and IEC 61508 check Check usage of Simulink constructs  return the error message Abnormal exit: Index exceeds matrix dimensions  when any relational operator block in the model has only one input. ","Installation instructionsLog in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file, corresponding to your release, associated with this Bug Report and store the file in the <MATLAB> folder.Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: Windows Systems: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>Extract the files from the .zip file. Windows Systems: Open the .zip file.Extract the contents of the file to your <MATLAB> folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>unzip <.zip file>Delete the .zip file in the <MATLAB> folder.",Simulink Check,Other,R2010b,10 Jan 2011
693267, Code Reuse Subsystem between two nested For Each Subsystems might cause segment violation when generating code for a Simulink model?,"A segment violation might occur when generating code for a Simulink model under the following conditions: 1. One instance of a Code Reuse Subsystem contains an inner For Each Subsystem, and is inside another For Each Subsystem. 2. The type of the Code Reuse Subsystem is not For Each Subsystem. 3. The code generation option of the inner For Each Subsystem is ""Reusable function"" or ""Auto"". 4. There is another instance of the same Code Reuse Subsystem that is not inside any For Each Subsystem. ? ",Manually insert a Signal Conversion Block in front of the inner For Each Subsystem contained by the Code Reuse Subsystem.,Simulink,Other,"R2010b, R2010bSP1",29 Jul 2015
692880, Model coverage crashes when cumulative report is turned on,"If you enable cumulative coverage results in any model by setting Coverage Settings -> Results  tab, Save cumulative results in workspace variable  Coverage Settings -> Report  tab, Cumulative runs   Simulating the model for coverage gives an error message:  ""A fatal error occurred when accessing the coverage tool: cvi.TopModelCov.modelTerm Cause: Undefined function or variable ""res""."" ","Installation instructions:Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: Windows Systems: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>Extract the files from the .zip file. Windows Systems: Open the .zip file.Extract the contents of the file to your <MATLAB> folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>unzip <.zip file>Delete the .zip file in the <MATLAB> folder.",Simulink Check,Other,R2010b,28 Dec 2011
685298, Type mismatch error might occur if Embedded MATLAB Function block outputs have inherited sizes.,"If some outputs of an Embedded MATLAB Function block or Truth Table block have inherited size (-1), you might get a type mismatch error when preparing for model simulation (update diagram). ",Set output sizes explicitly in the Ports and Data manager.,Simulink,Other,R2010b,13 Dec 2010
684891, Drag select and Drag resize can get stuck on in Windows 7 and Vista.,"When running Simulink on Windows 7 or Vista with the Aero desktop composition turned on, it's possible to get stuck in drag resize or drag select mode. When this happens, the resize or select rectangle continues to draw on the screen even after the mouse button is released.","Turn of Windows Desktop Composition.1. Click on the Windows button on the task bar.2. Right-click 'Computer' (in the right-hand section of the menu) and select 'Properties'.3. On the left, select 'Advanced System Settings'.4. In the resulting dialog, select the 'Advanced' tab.5. Under 'Performance', click the 'Settings' button.6. Uncheck the box labeled 'Enable Desktop Composition'.",Simulink,Other,R2010b,19 Apr 2016
679681," ""Linux-ARM Code Generation for Texas Instruments OMAP35xx Processors"" contains a link that works intermittently","In the ""Linux-ARM Code Generation for Texas Instruments OMAP35xx Processor"" product help topic, the link entitled ""The Angstrom Distribution"" is malformed. Clicking this link displays ""Warning - Documentation File Not Found"" in the instead of displaying http://www.angstrom-distribution.org. After clicking the back arrow and returning to the ""Linux-ARM Code Generation for Texas Instruments OMAP35xx Processor"" topic, if you click the preceding ""Getting Started"" link, the product help can display another warning page.","Do not click the ""The Angstrom Distribution"" link. Instead, open a browser and visit http://www.angstrom-distribution.org.If the ""Getting Started"" link does not work after clicking the ""The Angstrom Distribution"" link, close and reopen the product help before clicking the ""Getting Started"" link. Alternatively, open the ""Getting Started"" topic directly by entering the following command at the MATLAB command prompt: web([docroot '/toolbox/idelink/eclipse/ug/bsarany.html'])",Target Support Package,Other,R2010b,08 Sep 2014
669827, sym causes a segmentation violation error when called with a cell array of empty strings.,"Calling the sym  function with a cell array containing an empty string causes a segmentation violation error with the following top two function calls on the stack trace:   [0] libmx.dll:_mxGetN(0, 1, 0x00c3a704, 0x0b47a538) + 8 bytes   [1] mupadmex.mexw32:unsigned int __cdecl compute_total_length(struct mxArray_tag const *,unsigned int)(100, 1, 0x00c3ada0, 1) + 48 bytes  ",,Symbolic Math Toolbox,Other,R2010b,01 Nov 2010
