Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
1077928, Earlier releases of MATLAB crash when simulating a model with MATLAB function blocks after simulating in R2011a,"Simulating a model containing MATLAB function blocks using R2011a creates a MEX file that is incompatible with prior releases of MATLAB. If you subsequently simulate this model from the same working directory using a version of MATLAB earlier than R2011a, MATLAB will crash. The generated stack trace begins with something similar to: [  0] 0x000007fed981e547 C:/Program Files/MATLAB/R2011a/bin/win64/stateflow.dll+02155847 ( TagVisitorTraverserPreSF::operator=+126471 )[  1] 0x000007fed98216b5 C:/Program Files/MATLAB/R2011a/bin/win64/stateflow.dll+02168501 ( TagVisitorTraverserPreSF::operator=+139125 )[  2] 0x000007fed9822279 C:/Program Files/MATLAB/R2011a/bin/win64/stateflow.dll+02171513 ( TagVisitorTraverserPreSF::operator=+142137 )[  3] 0x000007fed98ad542 C:/Program Files/MATLAB/R2011a/bin/win64/stateflow.dll+02741570 ( sfdd::StackAllocatedString::~StackAllocatedString+207890 )[  4] 0x000007fed98d9b18 C:/Program Files/MATLAB/R2011a/bin/win64/stateflow.dll+02923288 ( SF::passthrough::SFLockNotifierexporter::operator=+123944 )[  5] 0x000007fed98d9b52 C:/Program Files/MATLAB/R2011a/bin/win64/stateflow.dll+02923346 ( sf_mexFunction+000018 )[  6] 0x00000000699e3333 C:/Program Files/MATLAB/R2011a/bin/win64/libmex.dll+00013107 ( mexRunMexFile+000131 )[  7] 0x00000000699e205f C:/Program Files/MATLAB/R2011a/bin/win64/libmex.dll+00008287 ( inSwapMexfileReader+000223 )[  8] 0x00000000699e2228 C:/Program Files/MATLAB/R2011a/bin/win64/libmex.dll+00008744 ( inSwapMexfileReader+000680 )[  9] 0x0000000074b8f859 C:/Program Files/MATLAB/R2011a/bin/win64/m_dispatcher.dll+00063577 ( Mfh_file::dispatch_fh+000473 )[ 10] 0x0000000074b8fccf C:/Program Files/MATLAB/R2011a/bin/win64/m_dispatcher.dll+00064719 ( Mfunction_handle::dispatch+000767 ) ",Use different working directories when using the same model with multiple versions of MATLAB.,Stateflow,Other,R2011b,28 Sep 2015
912019, startForeground command is slow to execute,"If you run a session with an NI-9211 module in a CompactDAQ 9171 chassis and use the default session rate and duration, the operation takes a long time to complete.",,Data Acquisition Toolbox,Other,R2011b,11 Feb 2013
816135, int returns incorrect results involving besselk,"For integrands of the form exp(z*cosh(x))*sinh(x)^a,  int  can return an incorrect result: syms v positive;syms t real;syms z positive;int(exp(-z*cosh(t))*sinh(t)^(2*v),t,0,inf)ans = (gamma(v + 1/2)*besselk(2*v, z))/(pi^(1/2)*(-z/2)^v) The correct result has besselk(v, z)  instead of besselk(2*v, z) . The following releases are affected: R2010a, R2010b, and R2011a. ",,Symbolic Math Toolbox,Other,R2011b,05 Apr 2012
801895, Creating a new item in the Current Folder browser can rename an existing item,"Creating a new file or folder automatically opens a text box to rename the newly added item. If you have sorted the Current Folder Browser by Date Modified, the new name might be applied to a different item and not the newly created item. ","Sort items in the Current Folder browser by Name, Type or Size, and then create a new file or folder.",MATLAB,Other,R2011b,23 Feb 2012
775912, sldvmergeharness output model has incorrect simulation stop time,The output model generated by sldvmergeharness  has an incorrect value for simulation stop time that matches the value of the simulation stop time in the first input model. The correct simulation stop time for the sldvmergeharness  output model is the largest simulation stop time out of all the input model values. The simulation stop time can be viewed on the Configuration Parameters dialog box in the Solver > Simulation time  pane. ,,Simulink Design Verifier,Other,"R2011b web release, R2012a",10 Jan 2012
775683, sldvmergeharness output model unable to simulate when input models are configured to define parameter values,"The function sldvmergeharness  combines test data from two or more test harness models and outputs a new test harness model. When you run sldvmergeharness  on any input models that are configured to define parameter values other than the Simulink Design Verifier defaults, the output model will not be able to simulate without throwing an error. ",,Simulink Design Verifier,Other,"R2011b web release, R2012b",07 Jan 2014
773217, Simulink Design Verifier Test Generation analysis might end after 300 seconds and still show Undecided Test Objectives,"Simulink Design Verifier analysis might time out erroneously, ending before the Maximum analysis time has elapsed even though Test Objectives with Undecided status still exist. ",,Simulink Design Verifier,Other,"R2011b web release, R2012a",13 Dec 2011
772171, Sample time mismatch error might occur when multiple asynchronous function calls drive one referenced model,"If a model has multiple asynchronous function calls that drive one referenced model, updating the model might generate an error similar to the following: Number of functional sample times specified in block 'topModel/TmpSFcnForModelReference_Model'does not match the number of sample times in this block. This can happen when you build anS-Function block from a variable-step model, and then use the S-Function block in afixed-step model. You can fix this error by switching to a variable-step solver orregenerating the S-Function block with a fixed-step solver. The error message also might be displayed if a model contains an S-function block that initiates multiple asynchronous function calls, and you make a change that affects sorting order, such as changing block names, adding or removing blocks, rewiring signals, and so on. ",,Simulink,Other,R2011b,05 Mar 2012
772097, Simulink Design Verifier report has invalid expected output values for blocks with multiple outports.,The Simulink Design Verifier report has invalid expected output values for blocks with multiple outports. ,,Simulink Design Verifier,Other,"R2011b web release, R2012a",13 Dec 2011
770061," Simulink Design Verifier Design Error Detection fails, reports ""Error using horzcat"" in analysis of Function-Call Subsystems","Simulink Design Verifier Design Error Detection fails during analysis of Function-Call Subsystems, throwing the following error: Error using horzcat CAT arguments dimensions are not consistent.  ? ",,Simulink Design Verifier,Other,"R2011b web release, R2012a",13 Dec 2011
