Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
395294, Crash on Mac platform in libmwm_interpreter.dylib:jitCodeGenerator::ClearUnusedBailouts().,"MATLAB crashes with the following stack trace: [0] libmwm_interpreter.dylib:jitCodeGenerator::ClearUnusedBailouts() + 52 bytes  [1] libmwm_interpreter.dylib:Jit::Compile(jitCodeGenerator&amp;, jitCodegenStack&amp;, cg_stack_id*, int*, int, _jitSegInfo*, int**, bool) + 364 bytes  [2] libmwm_interpreter.dylib:std::basic_filebuf<wchar_t, std::char_traits<wchar_t> >::_M_underflow_common(bool) + 1116084 bytes  [3] libmwm_interpreter.dylib:std::basic_filebuf<wchar_t, std::char_traits<wchar_t> >::_M_underflow_common(bool) + 557940 bytes  [4] libmwm_interpreter.dylib:std::basic_filebuf<wchar_t, std::char_traits<wchar_t> >::_M_underflow_common(bool) + 545028 bytes  ",Run the following command before executing your code:feature jit off;,MATLAB,Other,R2006b,17 Aug 2009
348437, Scheduling problem with models containing continuous sample times,Models containing continuous sample times may not execute all sub-rates during real-time execution due to a scheduler bug in the mpc555dk_main.c  file. The bug relates to incorrect handling of the TID01EQ  preprocessor define in the mpc555dk_main.c  file.,Do not use continuous sample times in your model.,Target Support Package FM5,Other,R2006b,05 Dec 2006
346561, Warning about 'TiledPaperMargins' when opening a model saved to an earlier version of Simulink,"When loading from Simulink 6.4 (R2006a) a model that was saved as an R14sp3 or earlier model, you will get the following warning:Warning: block_diagram does not have a parameter named 'TiledPaperMargins'",It is permissible to ingnore this warning: The model will load successfully.,Simulink,Other,R2006b,18 Dec 2006
345510, Connecting to xPC Target via Simulink external mode might cause errors,Attempts to connect to a target PC via Simulink external mode might display on the host PC warnings like the following : Parameter : XX does not exist on Target ,"These warning messages are benign; you can ignore these messages. After you receive these messages, the connection via Simulink external mode and the  running of external mode simulation should procede as expected.",Simulink Real-Time,Other,R2006b,20 Nov 2006
333761, Deployed GUIDE GUIs with ActiveX controls may not work properly,"The deployed version of a working GUIDE GUI with ActiveX controls, generated by the MATLAB compiler, may not work properly when running  inside MATLAB, from the operating system, or both. An error dialog may appear or a segmentation violation may occur. The filename format of the deployed GUI is platform specific. For example, it has an .exe  extension on Windows. Please refer to the MATLAB compiler document for more information.","If an error dialog appears when running the deployed GUI, copy any files for the ActiveX controls in your GUI to the following directory: DEPLOY_DIR\GUINAME_mcr\GUINAME\, where DEPLOY_DIR is the location of the deployed version of the GUI (.exe file on Windows for example) and GUINAME is the name of your GUIDE GUI. Files for any ActiveX controls in your GUI have names of this pattern: GUINAME_activexX, where X (uppercase) is the serial number.If a segmentation violation occurs, that problem may be addressed by Bug Report 290531. Please apply the solution or workaround suggested there. ",MATLAB,Other,R2006b,08 Nov 2006
332605, MCR intitialization appears to modify system properties in Java application,"After an MCC-generated shared library is loaded or Builder for Java generated class is created inside a user's Java application, System.getProperties().getSize() may return the wrong number of properties.This is due to a bug in the java.util.Properties class.  See http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=4880089 for details.",Ignore the value returned by System.getProperties().getSize().,MATLAB Compiler,Other,R2006b,09 Nov 2006
332369, MAT files not included in compilation with dotnettool and mxltool,The MAT files added to a DOTNETTOOL or MXLTOOL project are not compiled into the application.,"The following workaround is available for MATLAB Compiler 4.4 (R2006a) and later:1) Backup your existing basicui.m file, located in  <matlabroot>/toolbox/compiler, by renaming it to basicui.m_bckup.2) Download the attached basicui.m file and copy it to: <matlabroot>/toolbox/compiler directory.3) Restart MATLAB.",MATLAB Builder NE,Other,R2006b,09 Aug 2011
332073, Speed deviation parameter of the Synchronous Machine block is incorrect ,There is an error in the calculation of the speed deviation parameter of the mechanical internal model of the Synchronous Machine block when the mechanical input parameter is set to: Speed w.This error results in incorrect frequency calculation of the output voltage of the machine when the speed input of the block is varying. ,"To work around this issue, download the attached version of the powerlib_models_updatedfor R6a.mdl file. Here are the steps:   Quit MATLAB  Rename the following file: $MATLAB\toolbox\physmod\powersys\powersys\powerlib_models.mdl  (where $MATLAB is the MATLAB root directory on your machine, as returned by typing  matlabroot  at the MATLAB Command Prompt.)  Rename the file to powerlib_models.mdl.old  Download the attached file. Rename it to powerlib_models.mdl. Place the new file in the same directory mentioned in step 2.  Restart MATLAB.  ",Simscape Electrical,Other,R2006b,09 Aug 2011
331535, Passing an uninitialized dynamic array from Excel to your COM object cause the application to exit,"When an uninitialized dynamic array is passed from Excel to a COM Object built with MATLAB Builder for Excel or Builder for .Net, Excel exits abnormally. Executing the following code will demonstrate this problem: Sub FooDim x() as Doublecall myclass.foo(1, x);End Sub ","Ensure that your arrays are allocated before passing them into the COM Object. The following code illustrates how to do this:Sub FooDim x() as DoubleReDim Preserve x(0 To 0)call myclass.foo(1, x);End Sub",MATLAB Builder NE,Other,R2006b,20 Nov 2006
329977, c281x SCI Transmit interrupt for module A does not rearm and is executed only once.,"Once an SCITXA interrupt is fired, the wrong flag is cleared inside the c281x SCI Transmit interrupt for module A, preventing any new SCITXA interrupts from being processed. This error occurs during code execution."," Close MATLAB Browse to the following directory: [matlabroot]\toolbox\rtw\targets\tic2000\tic2000 Backup the following file by renaming it: ti_c281x_interrupts.tlc   Copy the attached file into the following directory: [matlabroot]\toolbox\rtw\targets\tic2000\tic2000blks  Open MATLAB At the command prompt, type: rehash toolboxcache  ",Target Support Package TC2,Other,R2006b,09 Aug 2011
329155, Segmentation violation occurs when calling the init function of block connected to a bus,"Calling the init fcn of a block connected to a bus causes a segmentation violation. The Bus Object for the bus signal must be specified by the block for the crash to occur. The init fcn of the block is run during model compilation, so the crash can occur during Update Diagram or Simulation Start.",,Simulink,Other,R2006b,11 Sep 2006
328999, Unexpected termination or fatal error for large or complex MATLAB files in the Editor/Debugger or with mlint function,"MATLAB might terminate unexpectedly or experience a fatal error when you run mlint  for a large or complex MATLAB file. This can also occur if you open or work with a large or complex MATLAB file in the Editor/Debugger when M-Lint enabled. A large or complex MATLAB file is one that strains system resources. Examples includeThousands of variables Thousands of functions Tens of thousands of statements Hundreds of language keyword pairs, such as if/else  statements   ","If the problem happens when working with an MATLAB file in the Editor/Debugger, you can disable M-Lint prior to opening the file, however, you will lose the benefits of M-Lint.Another way to address the problem is to make the file smaller or less complex. This will also improve performance and reliability. Ways to do so includeBreaking up the file into a set of smaller filesUsing subfunctions or nested functionsUsing more efficient programming practices. For example, use the switch function instead of if/else pairs.",MATLAB,Other,R2006b,13 Dec 2005
328440, Text objects cropped on MAC with Java 1.5 in zbuffer/opengl,Upgrading Java to 1.5 on MAC in MATLAB 2006a causes text objects to be cropped when using the zbuffer or opengl renderers.,Use version 1.4 of Java.,MATLAB,Other,R2006b,08 Nov 2006
328070, Adjust Contrast tool in Image Tool does not work with images of class single,"If you display a single-precision image in the Image Tool (imtool ) and then activate the Adjust Contrast tool on the image, the Adjust Contrast tool outputs the following error when you try to move the contrast adjustment window.  ??? Error using ==> intminInvalid class name.Error in ==> imcontrast>createHistogramPalette/validateClim at 1040            minOfDataType = double(intmin(getClassType(imgModel)));... ","To workaround this issue, replace the version of the imcontrast function in your current installation with the updated version contained in the attached file.Exit MATLAB.Make a backup copy of the following file. matlabroot\toolbox\images\imuitools\imcontrast.mmatlabroot represents the name of your MATLAB installation directory, as returned by the matlabroot function. For example, rename the existing file, adding ""old"" to the file extension, imcontrast.m.OLD.Download the attached file, extract imcontrast.m, storing it the directory specified in the previous step.Restart MATLAB.Run the rehash toolbox command at the MATLAB prompt.",Image Processing Toolbox,Other,R2006b,09 Aug 2011
328043, Body dialog column data swapped: Translated from Origin of and Components in Axes of,"In the Body block dialog, on the Position  panel, SimMechanics reads and saves the data from the columns Translated from Origin of  and Components in Axes of  as swapped. This bug occurs only in Version 2.4 (R2006a). Furthermore, Body blocks from models built from SimMechanics prior to Version 2.4 display  the column values as swapped in Version 2.4. But such models will simulate  correctly, that is, according to the saved values, not the swapped values displayed.","To avoid confusion, in the Version 2.4 Body dialog, use the same set of values for both columns, Translated from Origin of and Components in Axes of. If you must use different sets of values in the two columns, swap the intended value sets.Alternatively, you can use the attached workaround, which is intended ONLY for the R2006a release. Download and unzip the attached file, and copy the P-files to the following directory, overwriting the files with the same names already there:$MATLAB/toolbox/physmod/mech/mech/@MECH/@MechFrameHelper",Simscape Multibody,Other,R2006b,11 Aug 2006
327065, cp command on UNIX systems:  Real-Time Workshop can become inoperable if command is aliased," On UNIX systems, it is common practice to define the alias cp -i  for the cp  command. However, this alias can cause Real-Time Workshop to become inoperable. Specifically, this command can cause Real-Time Workshop to hang while generating code if the model includes model references and code has been already generated for the model. ", Do one of the following: Start MATLAB from a command shell where the cp command is not aliased. Delete files from the build directory manually before generating code to the same directory.,Simulink Coder,Other,R2006b,07 Aug 2006
326955, EMBLREAD/GETEMBL returns incomplete/invalid structures when reading an EMBL flat file created in release 87 of the EMBL-EBI database.,"Bioinformatics functions EMBLREAD and GETEMBL return incomplete or invalid structures when reading an EMBL flat file created in release 87 of the EMBL-EBI database. For more information, see EMBL release 87 notes . ","If you have Bioinformatics Toolbox version 2.3 or earlier, you can update the function EMBLREAD by using the following procedure.1. In the MATLAB Command Window type which emblread.mThis displays the location of the file emblread.m.2. Rename emblread.m to emblread.bak.3. Download the updated file attached to this bug report to the directory identified with the which command.",Bioinformatics Toolbox,Other,R2006b,09 Aug 2011
326744, Bus Selector incorrectly warns of unconnected input signals,"A Bus Selector block incorrectly warns about unconnected input signals in the following circumstances: The bus entering the Bus Selector includes a bus element whose ultimate source is an Inport block. The model creates the bus element by selecting and combining elements of the Inport bus, using upstream Bus Selector and Bus Creator blocks.  ","Specify a bus object for the bus element, using the parameter dialog box of the upstream Bus Creator blocks that create the bus element. You do not need to select the Bus Creator blocks' Output as non-virtual bus option.",Simulink,Other,R2006b,24 Jul 2006
326607, Invalid code generation for iterator block,"Real-Time Workshop  and Real-Time Workshop Embedded Coder  may generate invalid code for an iterator block that has a selector block as a signal source. The problem occurs under the following conditions:  The model contains a For Iterator  subsystem or a While Iterator  subsystem. If the model contains a For Iterator  subsystem, the For-Iterator  block has an external iteration limit that is connected through an input port to a Selector  block. If the model contains a While Iterator  subsystem, the While Iterator block  has an external condition that is connected through an input port to a Selector  block.  The Selector  block has a vector input signal and a constant internal element index.  ",Insert a Signal Conversion block between the input port and the iterator block.  Set the Signal Conversion block's Output parameter to Contiguous copy and select Override optimizations and always copy signal.,Simulink Coder,Other,R2006b,17 Nov 2006
325898, MATLAB hangs on exit,Closing a figure in a Simulink model CloseFcn  callback can cause MATLAB to hang on exit.,Do not delete or close figures in the model CloseFcn callback.,Simulink,Other,R2006b,11 Sep 2006
325611, Editor/Debugger: line space not proportional for small font sizes,There is extra space between lines of the text in the Editor/Debugger when the font size is smaller than the default.,,MATLAB,Other,R2006b,22 Aug 2006
324726, Incorrect sample time propagation across subsystem boundary,Simulink's sample time propagation is incorrect in the following case: A set of constant blocks are combined into a single signal (either by mux or bus creator). The signal is passed across an atomic subsystem boundary. The blocks reading the constant values do not all have the same sample time. Inline parameters is off.  ,Any of the following:Specify the desired sample time in the constant blocks instead of leaving the sample time as inf.Use a goto-from pair to pass the signal across the subsystem boundary instead of the input port.Move the constant block sources inside the subsystem.,Simulink,Other,R2006b,11 Aug 2016
324694, Real-Time Workshop: Incorrect number of tunable parameters generated in C-API file,"A C-API file generated by Real-Time Workshop may contain incorrect information about tunable parameters if the model fulfills the following conditions:  ""Inline parameters"" is set to ""on"". A workspace parameter is set to ""tunable"" with storage class SimulinkGlobal. The workspace parameter is never accessed during simulation or code execution.(For example, it is used on Stateflow Transitions and States that are never activated.)  In this case, the tunable parameter is optimized in the generated code. However, an incorrect entry for the parameter appears in the C-API file. ","To workaround the problem in Version 6.4 (R2006a):Download the attached TLC file: globalmaplib.tlcReplace the file matlabroot/rtw/c/tlc/mw/globalmaplib.tlc with the downloaded file,where matlabroot is the directory where MATLAB R2006a is installed.Note: this download will not work for earlier releases of MATLAB and Real-Time Workshop.",Simulink Coder,Other,R2006b,09 Aug 2011
324406, Data type conversions: code generation error can occur when redundant type casts are removed for optimization,"Real-Time Workshop can fail to generate code for a model or cause MATLAB to crash if all of the following conditions exist:  The model contains a chain of Data Type Conversion blocks. The data type of the input signal or the specified output data type for at least one of the Data Type Conversion blocks is a non-integer type, such as double  or single . The Configuration Parameter dialog optimization option Ignore integer downcasts in folded expressions  is selected. ",,Simulink Coder,Other,R2006b,28 Aug 2006
324357, From RTDX block returns invalid sample time error in simulations,"The From RTDX block in the RTDX Instrumentation library (rtdxBlocks ) fails in simulation under the following conditions: You select Frame-based  on the block mask.  You add the block to a function call subsystem. For a frame of 64 elements, Simulink reports the following error message:Sample time [-64 0] of 'untitled/Function-Call Subsystem/From RTDX' is invalid. ","Clear the Frame-based check box on the block mask and use a Frame Conversion block from Signal Processing Blockset to convert the output of the From RTDX block to a frame. To see an example that uses this conversion technique, refer to the attached model rtdx_workaround.mdl model.",Target Support Package TC6,Other,R2006b,09 Aug 2011
