Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
1518277, Java parsing error when running Model Advisor bug reports checks,"When running Model Advisor bug reports checks for the IEC Certification Kit, the?following error occurs:  Abnormal exit: Java exception occurred: org.xml.sax.SAXParseException: White spaces are required between publicId and systemId. at org.apache.xerces.parsers.DOMParser.parse(Unknown Source) at org.apache.xerces.jaxp.DocumentBuilderImpl.parse(Unknown Source) at javax.xml.parsers.DocumentBuilder.parse(Unknown Source)  ? ? ","Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.",IEC Certification Kit,Other,R2014b,11 Jan 2017
1514176, MATLAB crashes during print/saveas operations., In R2013a MATLAB sometimes crashes with glren:XFreePixmap on the stack trace while using print/saveas functionality. Recent versions of MATLAB no longer use this function.  ,,MATLAB,Other,R2014b,20 Dec 2016
1503822, MATLAB crashes with?uiw:UIW_ColormapIndex2ColorPtr?on the stack trace,Sometimes MATLAB crashes with?UIW_ColormapIndex2ColorPtr ?on the stack trace. The crash is due to a bug in the?UIW_ColormapIndex2ColorPtr ?function that converts indexed colors to RGB colors. Recent versions of MATLAB no longer use this function.? ,,MATLAB,Other,R2014b,09 Dec 2016
1503131, MATLAB crashes when generating code from a model with a long path name,MATLAB might crash when generating code for a Simulink model if the model or the code generation folder have a path name that exceeds 105 characters. For example: C:\Users\SomeUserName\ApplicationFolder\MATLAB\ProjectSimulink\AutomotiveDivisionTestLimited_FullVersionTesting\Version125\ ...  ,,Simulink Coder,Other,R2014b,03 Jan 2017
1245515, Using the findop command on a Simulink model containing SimMechanics blocks can error,"When you use the findop  command to compute the operating point of a Simulink model containing SimMechanics blocks, you can encounter the following error: Error using findop (line 100)Input argument must be a cell array of strings. ","Installation instructionsLog in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: Windows Systems*: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>Extract the files from the .zip file. Windows Systems*: Open the .zip file.Extract the contents of the file to your <MATLAB> folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>unzip <.zip file>Delete the .zip file in the <MATLAB> folder.*Notes for Windows Systems:You need administrative privileges to save the .zip file in the <MATLAB> folder. To save the .zip file in the <MATLAB> folder, open this Bug Report in a browser started in administrator mode.If you see ¡°Error: Access is denied¡± when attempting to extract the .zip file, you may need to start WinZip in administrator mode. Do this by navigating to WinZip.exe or the WinZip Start menu entry, right-clicking on it, and selecting Run as administrator.From within WinZip, find and open the downloaded .zip file.Extract the contents of the file to your <MATLAB> folder.",Simulink Control Design,Other,R2014b,01 Jun 2015
1240472, Model coverage report can show misleading information about eliminated blocks,"Model coverage report can show a block in the  ""Blocks eliminated from coverage analysis"" section with ""Rationale: Block reduction eliminated"" even though the block has full coverage. The full coverage information for the block appears later in the report. ","Installation instructionsLog in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: Windows Systems*: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>Extract the files from the .zip file. Windows Systems*: Open the .zip file.Extract the contents of the file to your <MATLAB> folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>unzip <.zip file>Delete the .zip file in the <MATLAB> folder.*Notes for Windows Systems:You need administrative privileges to save the .zip file in the <MATLAB> folder. To save the .zip file in the <MATLAB> folder, open this Bug Report in a browser started in administrator mode.If you see ¡°Error: Access is denied¡± when attempting to extract the .zip file, you may need to start WinZip in administrator mode. Do this by navigating to WinZip.exe or the WinZip Start menu entry, right-clicking on it, and selecting Run as administrator.From within WinZip, find and open the downloaded .zip file.Extract the contents of the file to your <MATLAB> folder.",Simulink Check,Other,"R2014a, R2014b, R2015a, R2015b",04 Sep 2015
1230112, System Snapshot component errors when taking a snapshot of a system containing Simscape blocks,The System Snapshot components throws the following error when taking a snapshot of a system containing Simscape blocks: Attempted to access portList.Outport(NaN); index must be a positive integer or logical. Error while evaluating TimerFcn for timer 'timer-1' Attempted to access portList.Outport(NaN); index must be a positive integer or logical. ,"Installation instructionsLog in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: Windows Systems*: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>Extract the files from the .zip file. Windows Systems*: Open the .zip file.Extract the contents of the file to your <MATLAB> folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>unzip <.zip file>Delete the .zip file in the <MATLAB> folder.*Notes for Windows Systems:You need administrative privileges to save the .zip file in the <MATLAB> folder. To save the .zip file in the <MATLAB> folder, open this Bug Report in a browser started in administrator mode.If you see ¡°Error: Access is denied¡± when attempting to extract the .zip file, you may need to start WinZip in administrator mode. Do this by navigating to WinZip.exe or the WinZip Start menu entry, right-clicking on it, and selecting Run as administrator.From within WinZip, find and open the downloaded .zip file.Extract the contents of the file to your <MATLAB> folder.",Simulink Report Generator,Other,R2014b,13 Apr 2015
1214803, Error message when creating or modifying AUTOSAR configuration for AUTOSAR component with long name,"If the name of an AUTOSAR software component that you are modeling in Simulink exceeds the defined Maximum SHORT-NAME length , minus four characters, errors might occur when you create or modify the AUTOSAR configuration. Examples include: Assertion failure if you add a receiver port to the component in the AUTOSAR Properties Explorer. Mapping failure if you create a default AUTOSAR component for the model using the AUTOSAR Component Builder.  The AUTOSAR software component name can be modified in the Configure AUTOSAR Interface dialog box, AUTOSAR Properties > AUTOSAR > AtomicComponents  view. The Maximum SHORT-NAME length  is defined in the Configuration Parameters dialog box, AUTOSAR Code Generation Options  pane. The default maximum length is 32. ","To work around this bug, use one of the following workarounds:Change the Maximum SHORT-NAME length value for the model. For example, the following code conditionally increases the maximum length by four.%%% Workaround: Change AutosarMaxShortNameLength for modeldataObj = autosar.api.getAUTOSARProperties(bdroot);maxShortNameLen = get_param(bdroot, 'AutosarMaxShortNameLength');[~, compName] = fileparts(dataObj.get('XmlOptions', 'ComponentQualifiedName'));if numel(compName) >= maxShortNameLen-4    set_param(bdroot, 'AutosarMaxShortNameLength', maxShortNameLen+4);endShorten the name of the AUTOSAR software component. For example, the follow code truncates the compionent name to length Maximum SHORT-NAME length minus four.%%% Workaround: Shorten name of AUTOSAR ASWCdataObj = autosar.api.getAUTOSARProperties(bdroot);maxShortNameLen = get_param(bdroot, 'AutosarMaxShortNameLength');[compPath, compName] = fileparts(dataObj.get('XmlOptions', 'ComponentQualifiedName'));if numel(compName) >= maxShortNameLen-4    compName = compName(1:end-4);    dataObj.set('XmlOptions', 'ComponentQualifiedName', [compPath '/' compName]);end",Embedded Coder,Other,R2014b,05 May 2015
1207008, Running deploytool to package an existing project from Windows command line fails,"If you try to package a deploytool  project from Windows command line, outside of MATLAB, using deploytool -package projectname.prj command, it fails with the error Start packaging processPackage failed The component is still correctly generated in the for_testing  folder, but the installer is not generated.  R2014b works without issues.  ",,MATLAB Compiler,Other,R2014b,23 Feb 2015
1206162, Deployment of certain Report Generator functionality fails,"Deploying MATLAB code that uses custom Report Generator components fails.  During packaging, an error such as: Internal Error: Could not determine class of method""l:\00910730\repro\@RptgenCustom\schema.p"". Number of classes checked: 18. or Internal Error: Could not determine class of method ""C:\Program Files\MATLAB\R2014a\toolbox\shared\rptgen\@rptgen\displayMessage.m"". Number ofclasses checked: 23.  may be thrown. ",,MATLAB Compiler,Other,R2014b,21 Dec 2015
