Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
737288, Model coverage data can not be loaded after the  Matlab session ended.,"cvload command gives the following error meassage: %%%BEGIN ERROR%%%  Class property slsfobj.treeNode has:  parent : object  child : object  before : object  next : object  Error in parameter number 3.  ??? Error using ==> cv  -->Model Coverage Internal Error :(SLSF Diagnostic)Ambiguous property name.   Error in ==> get_blk_typ_str at 19  name = cv('get',index, '.type');   Error in ==> install_informer_text>object_titleStr_and_link at 563  titleStr = sprintf('%s block ""%s""',get_blk_typ_str(type),obj_diag_named_link(id));   Error in ==> install_informer_text at 192  covStr = [bold(object_titleStr_and_link(blkEntry.cvId)) ' <BR>' char(10) '<BR>' char(10) char(10)];   Error in ==> cv_display_on_model>compute_sys_cov_display at 424  [missingCov, covStr] = install_informer_text(informerUddObj,blkEntry,cvstruct,suppressDisp);   Error in ==> cv_display_on_model at 72  compute_sys_cov_display(informerUddObj,cvstruct, i, 0);   Error in ==> C:\ApplDev\MATLAB\R2007b\toolbox\slvnv\simcoverage\cvmodelview.p>cvmodelview at 69  cv_display_on_model(cvstruct, metricNames, informerUddObj);   Error in ==> simple_show at 1  cvmodelview(TestData);  >> simple_simulate  failed assertion in B:\matlab\toolbox\stateflow\src\utils\object.cpp at line 2913:  object[id]->isa==isa  Stack Trace:  [0] cv.mexw32:0x0e151719(0x0e17b3a8 ""object[id]->isa==isa"", 0x0e17a104 ""B:\matlab\toolbox\stateflow\src\.."", 2913, 0)  [1] cv.mexw32:0x0e15bb92(147, 14, 0x00cebdb0 ""?""????"", 0x0e13d5e0)  [2] cv.mexw32:0x0e13724e(147, 0x0c384954, 147, 146)  [3] cv.mexw32:0x0e13d5e0(146, 1, 0, 0)  [4] cv.mexw32:0x0e13c5d1(146, 0x0e13d440, 0, 143) %%%END ERROR%%% ","The model has to be simulated with model coverage before a  prevoisuly saved coverage data loaded, e.g.:load_model(modelName);cvsim(modelName)cvase('mydata');close matlabload_model(modelName);cvsim(modelName);[t d] = cvload('mydata');cvhtml('myreport', d{1});?",Simulink Check,Other,R2008a,19 Jul 2011
652877, Fixed-Point Tool errors out during simulation if a Stateflow chart uses multiple Stateflow data objects with the same name in different states,"If different states in a Stateflow chart use Stateflow data objects with the same name, then the following error occurs the second time you use the Fixed-Point Tool to simulate the chart: ??? No method 'getFullName' with matching signature found for class 'Stateflow.Data'.  Error in ==> fxptui.sfresult.init>locpropertychange at 31 h.propertychange(src, e);  Error in ==> fxptui.sfresult.init>@(s,e)locpropertychange(h,s,e) at 14 h.listeners = handle.listener(ed, 'PropertyChangedEvent', @(s,e)locpropertychange(h,s,e));  Warning: Error occurred while evaluating listener callback. > In slsfnagctlr>dehilite_blocks_l at 1580> In slsfnagctlr>clear_l at 1146 > In slsfnagctlr>broadcast_in_collection_mode at 1033> In slsfnagctlr>broadcast_cmd_event_l at 123> In slsfnagctlr at 77 In fxptui.cb_simulation at 32  ? ","Log into your computer using an account with Administrator privileges.Download the workaround files associated with this Bug Report.Locate the download - this directory is referred to as <DOWNLOAD> in subsequent steps.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt - this directory is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Follow additional steps, depending on your operating system.On Windows:Open the downloaded fileExtract the contents of the file to your <MATLAB> directoryOn Linux and Macintosh:Type the following in a shell (on Linux) or a Terminal (on Macintosh) window:cd <MATLAB>tar -xvf <DOWNLOAD>/<downloaded file>",Simulink Fixed Point,Other,R2008a,11 Aug 2010
566935, Macintosh? OS X Snow Leopard: Command History and Current Directory Browser do not appear,"When running MATLAB? Version 7.4 (R2007a) and Version 7.5 (R2007b) on Macintosh? OS X Snow Leopard, the Command History and Current Directory Browser do not appear. Instead, the following error messages appear in the Command Window: Unable to create com.mathworks.mde.filebrowser.FileBrowser Unable to create com.mathworks.mde.cmdhist.CmdHistoryWindow ",,MATLAB,Other,R2008a,02 Sep 2009
563214, Reading multi-page TIFF file containing thousands of images can cause 'Out of Memory' error,"Massive multi-page TIFFs containing many thousands of images can cause imfinfo  to take a long time to complete, and often causes a segmentation violation (crash) in MATLAB with an 'Out of Memory'  error. ","Installation instructions?????? Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.?????? Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.?????? Exit MATLAB.?????? Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.?????? Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: ????????????? ???????????????????? Windows Systems: Open the .zip file and look at the contents.???????????????????? Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>????????????? ?????? ?????? Extract the files from the .zip file. ????????????? ???????????????????? Windows Systems:?????????????????????????? ????????????????????????????????? Open the .zip file.????????????????????????????????? Extract the contents of the file to your <MATLAB> folder.?????????????????????????? ???????????????????? ???????????????????? Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): ?????????????????????????? cd <MATLAB>unzip <.zip file>???????????????????? ????????????? ?????? ?????? Delete the .zip file in the <MATLAB> folder.",MATLAB,Other,R2008a,09 Aug 2011
527162, MATLAB crashes when updating a model with Embedded MATLAB functions in a Stateflow link chart,MATLAB crashes when updating a model with a Stateflow link chart. The linked library chart contains Embedded MATLAB functions that define large persistent array data. The top of the stack trace has the following signature. [0] sf.mexw32:0x182175bd(...)[1] cg_ir.dll:private: bool __thiscall CG::EnforceStackLimit::trim_off_stack_usage_along_path(struct PtrXarray_struct *)(...)[2] cg_ir.dll:public: bool __thiscall CG::EnforceStackLimit::enforce_stack_limit(void)(...) ,"Instead of defining large persistent data inside Embedded MATLAB functions, define them as chart-level Local scope data.",Stateflow,Other,R2008a,27 Feb 2009
526794, Incorrect code generation: build process generates incorrect code for Rate Limiter block,The Real-Time Workshop build process generates incorrect code for a Rate Limiter block when: The source signal is a scalar signal. The source signal is connected to Demux or virtual Selector block.  ,"At the input port of the Rate Limiter block, insert a Signal Convestion block.In the Signal Conversion block parameters dialog box, select Exclude this block from 'Block reduction' optimization.",Simulink Coder,Incorrect Code Generation,R2008a,14 Jul 2009
525636, Incorrect code generation: for Data-Type Conversion block when Block reduction parameter is selected,"The Real-Time Workshop build process might generate incorrect code for the Data Type conversion block under the following conditions: The Data Type Conversion block parameter Input and output to have equal  is set to Stored Integer (SI) . The input and output data type of the Data Type Conversion block have the same size and signedness. In the Optimization  pane of the Configuration parameters dialog box, the Block reduction  checkbox is selected.  ? ","In the Optimization pane of the Configuration Parameters dialog box, clear the Block reduction parameter.",Simulink Coder,Incorrect Code Generation,R2008a,19 Mar 2009
506451, After installing a mix of R2008a and R2008a+ products on a Unix platform MATLAB can SegV when starting Simulink.,"Installing the R2008a products Signal Processing Toolbox 6.9 or Image Processing Toolbox 6.1 after installing the R2008a+ product Simulink 7.1.1, disables the Simulink Library Browser. This could occur if the R2008a version of these products is downloaded an installed at the same time as the R2008a+ version of Simulink.Clicking the Simulink icon or typing simulink at the MATLAB prompt causes MATLAB to throw a segmentation violation.The problem can occur when you download and install the current versions of all licensed products from the MathWorks Web site. ",Avoid the problem by installing all licensed R2008a products before installing R2008a+ products.,Simulink,Other,"R2008a web release, R2008b",22 Apr 2009
505724," After installing a mix of R2008a and R2008a+ products on a Windows platform, Simulink library browser doesn't open.","Installing the R2008a products Signal Processing Toolbox 6.9, Image Processing Toolbox 6.1, or Embedded IDE Link MU 1.0.1 after installing the R2008a+ product Simulink 7.1.1, disables the Simulink Library Browser. This could occur if the R2008a version of these products is downloaded an installed at the same time as the R2008a+ version of Simulink.Clicking the Simulink icon or typing simulink at the MATLAB prompt displays the following error, Error: Simulink library browser failed to initialize  in the MATLAB Command Window.The problem can occur when you download and install the current versions of all licensed R2008a products from the MathWorks Web site. ",Avoid the problem by installing all licensed R2008a products before installing R2008a+ products.,Simulink,Other,"R2008a web release, R2008b",22 Apr 2009
491184, Why do I get a build error when I use S-function Builder blocks in my model?,"When S-function Builder blocks are used in a model, the model build process may fail with an error message similar to the following: The call to ccslink_ert_make_rtw_hook, during the exit hook generated the following error:  Error using ==> fevalError using ==> c6000_validateModelExit>checkForNoninlinedSFunctionBlocks at 38The model contains non-inlined s-function blocks, which cannot be used with the Link for CCS. Remove the following blocks from the model: berlekamp crcgen galois main rs   ? ","Download the attached patch installer patch_installer.m and the ZIP archive patch_491184.zip. This patch applies only to MATLAB Version 7.5 (R2007b).To install the patch, follow these steps.Start MATLAB.Enter the following command at the prompt to install the patch: patch_installer('patch_491184.zip', 'install')Follow the instructions on the MATLAB command line to complete the patch installation.",Embedded IDE Link CC,Other,R2008a,09 Aug 2011
