Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
619158, Generated code fails to compile because generated code refers TID[0] which doesn't exisit in rtModel.,If customer target specifies 'SuppressScheduler' via -a option or in target tlc file and use model reference block. Generated code fails to compile because generated code refers TID[0] which doesn't exisit in rtModel. ,Use the attached tlc file to replace the same file in R2007b,Simulink Coder,Other,R2008b,09 Aug 2011
594272, multivarichart can produce plot with missing data when grouping variables are not sorted,"Under some conditions, the multivarichart  function may produce a plot with some data missing. This happens if the grouping variables do not appear in sorted order. For example, the plot does not have a problem when the following matrix is the grouping variable:      1     1     1     1     2     1     1     1     1     2     1     1     2     2     1     1     1     1     2     1     2     1     2     1     1     2     2     1     2     2     2     1     1     1     1     2     2     1     1     2     1     2     1     2     2     2     1     2     1     1     2     2     2     1     2     2     1     2     2     2     2     2     2     2 However, random permutations of the rows of this matrix can lead to an error or a plot with missing content. ","Sort the data before making the plot. For example, suppose G is a grouping variable with 4 columns and Y is the response variable. The following commands will convert G and Y into the form shown above:[G,idx] = sortrows(G, 4:-1:1);Y = Y(idx);",Statistics and Machine Learning Toolbox,Other,R2008b,24 Nov 2009
585050, Ylabels and other rotated text draw backwards on MAC Snow Leopard,"Creating a ylabel  on MAC OS 10.6, Snow Leopard will draw the text backwards: ylabel('ylabel');  ",,MATLAB,Other,R2008b,12 Jan 2010
578647, MATLAB program error causes process abort in R2008a (ONLY) on Snow Leopard,"Executing any code that causes a MATLAB error to be thrown can cause R2008a to abort, e.g. >> A = [1 2 3]; >> A(4) This bug only affects Macs with Snow Leopard installed. ","In R2008a on OS X 10.6, the native JIT must be disabled for MATLAB to work. This is accomplished by starting up MATLAB with the -nojit option or using ""feature jit off"" at the command prompt.",MATLAB,Other,R2008b,02 Nov 2009
544885," After using Simulink.BlockDiagram.buildRapidAcceleratorTarget(model), parameter updates are not used during subsequent Rapid Accelerator simulations","After using Simulink.BlockDiagram.buildRapidAcceleratorTarget(model), the updated run-time parameters of the model are not used during subsequent calls to the Rapid Accelerator simulations. ",,Simulink,Other,R2008b,05 May 2009
536339, A zoom box initially displays in an incorrect location for some axes inside a GUI.,"If you create a GUI that includes the figure toolbar and an axes, and then use the zoom tool to drag out a zoom box, the dashed zoom box can appear in the wrong place. The displacement only occurs on the first zoom operation. Subsequent zoom operations behave as expected. ","You can work around this issue by turning off the Brushing and Linking Message Bar, located beneath the menu bar. Remove it by unchecking the ""Show Brushing and Linking Message Bar"" in the General -> Confirmation Dialogues preferences panel. Alternatively, click on the X in the Brushing and Linking Message Bar at the top of any figure. Removing the message bar unsets the preference as well.",MATLAB,Other,R2008b,03 Apr 2009
522913," Calling uisetcolor in a uicontrol (uitable, text box, buttons etc.) causes a standalone application to hang.",Create a GUI application with one or more uicontrol s. Call uisetcolor  in the callback for any one of the uicontrol s. Compile the code into a standalone application. Execute the standalone application. Activate the uicontrol  with the uisetcolor  callback to activate the callback. Click OK  or Cancel .  The application hangs. ,There is no known workaround for this issue.,MATLAB Compiler,Other,R2008b,14 Dec 2009
508733, Compilation failures might occur when building a target application from a model that contains a referenced model and has inlined parameters enabled,"Compilation failures might occur when building a target application from a model that contains a referenced model and has inlined parameters enabled. A message like the following indicates this issue: matlabroot \toolbox\rtw\targets\xpc\target\build\src\xpctarget.c(120) : error C2065: '<Parameters_ELGEAR>' : undeclared identifier NMAKE : fatal error U1077: '""c:\program files\microsoft visual studio 8\VC\BIN\cl.EXE""' : return code '0x2' Stop. ? ","As a workaround:Stop MATLAB.Download the attached file, xpcoptions.tlc, and save it to matlabroot\toolbox\rtw\targets\xpc\target\build\tlc\xpcoptions.tlcRestart MATLAB.Rebuild your target application.",Simulink Real-Time,Other,R2008b,09 Aug 2011
506451, After installing a mix of R2008a and R2008a+ products on a Unix platform MATLAB can SegV when starting Simulink.,"Installing the R2008a products Signal Processing Toolbox 6.9 or Image Processing Toolbox 6.1 after installing the R2008a+ product Simulink 7.1.1, disables the Simulink Library Browser. This could occur if the R2008a version of these products is downloaded an installed at the same time as the R2008a+ version of Simulink.Clicking the Simulink icon or typing simulink at the MATLAB prompt causes MATLAB to throw a segmentation violation.The problem can occur when you download and install the current versions of all licensed products from the MathWorks Web site. ",Avoid the problem by installing all licensed R2008a products before installing R2008a+ products.,Simulink,Other,"R2008a web release, R2008b",22 Apr 2009
506373, Multiple-step test cases with parameter values produce errors during simulation.,"If Simulink Design Verifier is configured to generate values for parameters and a generated test case has more than one time step, the parameter value for that test case will be invalid and the harness model might generate an error during simulation. ","Please perform the following steps to fix this bug:Move matlabroot\toolbox\sldv\sldv\private\parameters.m to a different folder, one that is outside the MATLAB path.Copy parameters.m to matlabroot\toolbox\sldv\sldv\private\Restart MATLAB.?",Simulink Design Verifier,Other,R2008b,09 Aug 2011
