Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
600167, Incorrect code generated for the Abs block,"Code generated for an Abs block might be invalid if both of the following conditions exist: The data type of the block input is a signed integer or signed fixed-point type. The Saturate on integer overflow  block parameter check box is cleared.  The incorrect code might take the form of an if-then-else  statement that performs no actions. For example, if (test_model0_U.in1 < 0) { } else { }  The probability of incorrect code increases if the model contains an S-Function block. ",Do either the following:Turn off expression folding for the model by clearing the Eliminate superfluous temporary variables (Expression folding) parameter check box on the Optimization pane of the Configuration Parameters dialog box.Place a Signal Conversion block at the outport of the offending Abs block and select the Signal Conversion block parameter check box Exclude this block from 'Block reduction' optimization.,Simulink Coder,Other,R2007b,03 Mar 2010
564726, MATLAB? may crash when using mtimes in conjunction with transpose with an N-D array and a nonscalar 2-D array.,"The following code produces a crash in MATLAB R2007a: A = ones(3,3,3); % Create an N-D arrayx = ones(3,1); % Create a nonscalar, full 2-D arrayx'*A The final line of code should result in an error because it is not possible to use mtimes  in MATLAB with N-D arrays unless the other argument is a scalar. ",,MATLAB,Other,R2007b,27 Aug 2009
563136, aviread returns identical data for different frame reads,"Sometimes subsequent reads of individual frames with aviread  return the same data. For example, the following code can return zero in the last line, indicating that the first two frames are identical, even when the frames are different:    mov1=aviread('myfile.avi',1);   mov2=aviread('myfile.avi',2);   any(any((mov1.cdata==mov2.cdata)~=1)) ","Use the new mmreader function, which replaces aviread. The aviread function will be removed in a future release. For example:  % Create an mmreader object  obj = mmreader('myfile.avi')  % read frame 1  mov1 = read(obj, 1);  % read frame 1202  mov2 = read(obj, 1202);  % compare frames  any(any((mov1 == mov2) ~= 1))The mmreader function is available in MATLAB on various platforms starting with the following releases:R2007b - WindowsR2008a - Mac OSXR2009a - Linux",MATLAB,Other,R2007b,02 Sep 2009
555177, MATLAB? may crash when using dmperm.,Calling dmperm  with large sparse matrices may cause MATLAB versions R2007b and previous to crash. ,,MATLAB,Other,R2007b,27 Aug 2009
496292, SEGV with jmi:JNIEnv_::CallVoidMethod Stack Trace,"SEGV occurs with the following Stack Trace: [0] jvm.dll:0x6d75baff(247800, 0x03cefe90, 0, 0x00ccb1a8)[1] jmi.dll:public: void __cdecl JNIEnv_::CallVoidMethod(class _jobject *,struct _jmethodID *,...)(247800, 0x03cefe90, 0, 0x03cebce8) + 29 bytes[2] This stack trace does not reveal what action was being performed at the time of the SEGV, and there is no information about which Java class was called. In order to further diagnose this problem, please file a companion problem report, providing further details about what you are doing in MATLAB at the time of the failure. ? ",,MATLAB,Other,R2007b,10 Nov 2008
494956, DM642EVM model hangs during start-up,"In some cases, a model targeted for DM642EVM platform may hang during the targetInitialize() or <model>_initialize() stages. Investigating the issue further suggests that some I2C calls such as I2C_write() or I2C_read() issued during board initialization or Video Capture device initialization fail to execute resulting in an infinite loop. If the model is executing a real-time video processing algorithm, the net result is blank screen observed at the display device. ","Follow these steps to update the demo.Download the attached ZIP archive patch_494956.zip and the patch installer patch_installer.m.To install the patch, Start MATLAB and enter the following command at the prompt: patch_installer('patch_494956.zip', 'install')Installing patch patch_494956.zip fixes the problem by disabling '641x - Configure L2 Memory Settings' option in the DSP/BIOS configuration file. Powe cycle the board after installing the patch.",Target Support Package TC6,Other,R2007b,09 Aug 2011
469100, R2007b Simulink? Design Verifier is incompatible with some R2007b+ Design Automation Products,"If you install any of the following R2007b+ products on top of an R2007b installation that includes Simulink? Design Verifier: Simulink? 7.0.1 Stateflow? 7.0.1 Stateflow? Coder 7.0.1 Simulink Fixed Point 5.5.1 Real-Time Workshop? 7.0.1 Real-Time Workshop Embedded Coder 5.0.1 Simulink? Verification and Validation 2.2.1 Fixed-Point Toolbox 2.1.1  Simulink? Design Verifier may operate incorrectly, causing errors. ",,Simulink Design Verifier,Other,"R2007b web release, R2008a",05 Dec 2011
469092, R2007b Simscape is incompatible with some R2007b+ Design Automation Products,"If you install any of the following R2007b+ products on top of an R2007b installation that includes Simscape: Simulink? 7.0.1 Stateflow? 7.0.1 Stateflow? Coder 7.0.1 Simulink Fixed Point 5.5.1 Real-Time Workshop? 7.0.1 Real-Time Workshop Embedded Coder 5.0.1 Simulink? Verification and Validation 2.2.1 Fixed-Point Toolbox 2.1.1  Simscape may operate incorrectly, causing errors. ",,Simscape,Other,"R2007b web release, R2008a",04 Jan 2011
458406, Generated code for model containing reusable subsystem might not compile,"The Real-Time Workshop code generator implements a subsystem as a function with arguments if either of the following is true: The Real-Time Workshop system code  parameter for the subsystem is set to Reusable function . The Real-Time Workshop system code  parameter for the subsystem is set to Auto  and Simulink reuses the subsystem for multiple instances  When a subsystem is implemented as a function with arguments, the generated code is invalid if all of the following are true: One of the inputs to the subsystem is connected to a block output that is defined as a nonaddressable storage class. The storage class of that block output is a signal with a custom storage class that is not addressable, such as BitField  or GetSet . The subsystem input is passed to its function by pointer.  The generated code does not compile because it attempts to take the address of the variable or expression corresponding to the input of the Subsystem block. ",Do one of the following:Use a Signal Converstion block: Place a Signal Conversion block at the forementioned input to the Subsystem block.Select the Override optimizations and always copy signal check box for the Signal Conversion block.Change the Real-Time Workshop system code parameter for the subsystem to Inline or Function.,Simulink Coder,Other,"R2007b web release, R2008a web release, R2008b",17 Mar 2009
447636," Double-clicking on a Filter Design Toolbox block in the Signal Processing Blockset opens the subsystem, not the dialog, when placed in a subsystem.",The File Design Toolbox blocks in the Signal Processing Blockset opens the subsystem instead of the mask dialog when placed in a subsystem. This prevents the user from changing the filter design. ,,Filter Design Toolbox,Other,R2007b,04 Mar 2008
447568," Using 'Save as', the file type shown is incorrect when saving a figure into a directory containing a period in its name","Saving a figure into a directory that contains a period causes the 'save as' type to show up as '*.pathname/name.fig '. For example, using Save as  to save 'untitled2.fig ', into the directory 'abc.def ' brings up the Save as dialog with a type of .def/untitled2.fig . ",Save into a directory that does not contain a period in its name.,MATLAB,Other,R2007b,03 Mar 2008
