Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
2316669, Incorrect Code Generation: Atomic subsystem with constant and discrete sample time blocks connected to Switch block may produce wrong answers,An atomic subsystem connected to a Switch block may produce wrong answers under the following conditions: The subsystem contains both constant sample time and discrete sample time blocks The subsystem's output is connected to a data input port of a Switch block The model configuration parameter? 'Conditional input branch execution' ?is checked  ,"Uncheck 'Conditional input branch execution'?in the model configuration parameters?or?Change the sample times of any Constant blocks inside the atomic subsystem to discrete (i.e., change from ""inf"" to ""-1"")",Simulink,Incorrect Code Generation,R2015b,04 Sep 2020
1995828, Simulink crashes on macOS Mojave 10.14.4 when opening model or using viewmarks,"Simulink might crash when opening models or using viewmarks on macOS Mojave 10.14.4. If you encounter this crash, the stack trace includes this line: +[QTMovie_QuickTime movieFileTypes:]  ","Installation instructions  Download the attached .zip file associated with this Bug Report. If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.  Extract the files from the .zip file into a folder on the MATLAB path. For a single-user installation, you can place the contents in ~/Documents/MATLAB.  Delete the .zip file.Add the command?fix_ebr_1995828; to your startup.m file, before calling any Simulink-related commands in that file.Restart MATLAB.?",Simulink,Other,R2015b,14 May 2019
1846232, Incorrect Code Generation: Chart property?Initialize Outputs Every Time Chart Wakes Up is not honored when using MATLAB as the Action Language,"In a chart that uses MATLAB as the action language, the chart property?Initialize Outputs Every Time Chart Wakes Up ?is not honored. The chart does not reset outputs implicitly at each new time step. Chart output values persist until they are explicitly overwritten. This behavior leads to incorrect results in both simulation and the generated code. ",,Stateflow,Incorrect Code Generation,R2015b,19 Oct 2018
1844615," Security Issue: October 2018 security updates for R2013b 每 R2018a MATLAB, Polyspace, and MATLAB Compiler and Runtime","Important security updates are available for R2013b每R2018a.   If you are using R2018b, no action is required. This release contains cumulative security updates.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download updates linked in the table below.  MATLAB and Polyspace  R2013b每R2018a have updates available.             Release       Products       Solution                     R2018b       All updates included       No action required                R2018a       MATLAB and Polyspace       Download R2018a Update 6                 R2017b       MATLAB and Polyspace       Download R2017b Update 9                 R2017a       MATLAB and Polyspace       Download R2017a Update 3                 R2016b       MATLAB and Polyspace       Download R2016b Update 6                 R2016a       MATLAB and Polyspace       Download R2016a Update 7                 R2015b       Polyspace       Download R2015b Update 1                 R2015a SP1       Polyspace       Download R2015a SP1 Update 3                 R2013b每R2015a       Polyspace       See Bug Report ID 1843737           For more information about these updates, see:   MATLAB Bug Report ID 1830808    Polyspace Bug Report ID 1843737   MATLAB Compiler and Runtime  Security updates are available for MATLAB apps (.mlapp) deployed using MATLAB Runtime R2016a每R2017a. To determine if updates apply to your app, including apps you have deployed to third parties, see the MATLAB Compiler Bug Report ID 1830810 .             MATLAB Runtime Release       Solution                     R2017b每R2018b       No action required                R2017a       Download the MATLAB Runtime Update                 R2016b       Download the MATLAB Runtime Update                 R2016a       Download the MATLAB Runtime Update           Ignore the Exists in  table at the end of this report. Version and product information is documented above. ",,MATLAB,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1843737, Security Issue: Running Polyspace or MATLAB with Polyspace installed for R2013b 每 R2018a may allow remote code execution,"Security updates are available for R2013b每R2018a. Running MATLAB with Polyspace installed may allow remote code execution.   If you are using R2018b, no action is required. This release is not affected.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download security updates linked in the table below.              Release       Solution                     R2018b       No action required                R2018a       Download R2018a Update 6                 R2017b       Download R2017b Update 9                 R2017a       Download R2017a Update 3                 R2016b       Download R2016b Update 6                 R2016a       Download R2016a Update 7                 R2015b       Download R2015b Update 1                 R2015a SP1       Download R2015a SP1 Update 3                 R2013b每R2015a       See the Workaround  section below          ","For R2013b每R2015a, download the attachment and follow the instructions below.Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.",Polyspace Bug Finder,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1773232," Incorrect Code Generation: Incorrect variable reuse when a Unit Delay block connects to a Constant block inside an enabled, triggered, or function-call subsystem","When a Unit Delay block is inside a triggered, function-call, or enabled subsystem, the state variable of the Unit Delay block?may be incorrectly reused?if all of the following conditions are true: O ptimize global data access ?configuration parameter is set to?Use global to hold temporary results ?or?Minimize global data access . R euse local block outputs ?configuration parameter is enabled. The Unit Delay input signal also connects to a subsystem outport block, which has null initial conditions. The Unit Delay input signal is driven by a Constant or Initial Condition block. The initial conditions of the Unit Delay and driving block do not match.  ","See the workaround in?Bug Report ID 1668727. That report describes a different but related issue, and the same workaround applies.",Embedded Coder,Incorrect Code Generation,"R2015aSP1 Update 3, R2015b",08 Oct 2018
1773229, Incorrect Code Generation: Reusable?custom storage class?specification at the input of a Unit Delay block can lead to incorrect code,"In code, the state of a Unit Delay block may be incorrectly reused with a reusable custom storage class variable if all of the following are true: Optimize global data access ?configuration parameter is set to Use global to hold temporary results or Minimize global data access   . Reuse local block outputs ?configuration parameter is enabled. The input to?a Unit Delay block has a reusable?custom storage class?specification. That input signal is also connected to a root output port. The?same reusable?custom storage class?specification is at the root input port.  For the attached example, the incorrect code generation pattern is as follows: ?abc = abc + abc;  Here, abc  is a variable corresponding to reusable custom storage class signal specification. In this example, the state variable got incorrectly merged into abc . ","To workaround around the issue, do either of the following:See the workaround in?Bug Report ID 1668727. That report describes a different but related issue, and the same workaround applies.Remove the?reusable custom storage class?specification from the input of the Unit Delay block.",Embedded Coder,Incorrect Code Generation,"R2015aSP1 Update 3, R2015b",08 Oct 2018
1771523, Incorrect Code Generation: Incorrect results might occur when the sample times of the input and output of a Unit Delay block are different and?Optimize global data access?parameter is set to a value other than?none,"Incorrect code might be generated for a Unit Delay block if all of the following conditions are true: The sample time of the Unit Delay's input is different from the sample time of the destination block of the Unit Delay's output. Optimize global data access  configuration parameter is set to Use global to hold temporary results  or Minimize global data access.  Reuse local block outputs  configuration parameter is enabled.  When these conditions are met, the generated code might?contain the wrong value for the?Unit Delay block's?output.?? ","See the workaround in?Bug Report ID 1668727. That report describes a different but related issue, and the same workaround applies.?",Embedded Coder,Incorrect Code Generation,"R2015aSP1 Update 3, R2015b",08 Oct 2018
1646518, Simulink Web View cannot zoom or pan very large diagrams,"Simulink Web View cannot zoom in, ?zoom out, ?or pan in very large diagrams.","Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.",Simulink Report Generator,Other,R2015b,25 Sep 2017
1586109, MATLAB R2015a might crash when a file dialog box is shown with a network location as the current?folder,"When a file dialog box?is shown with a network location as the current?folder and the network location becomes temporarily unavailable, the file dialog results in a crash with the following stack frames. ? [  8] 0x000000006ef43a48 C:\MATLAB\2015a\sys\java\jre\win64\jre\bin\server\jvm.dll+03029576[  9] 0x00000000777b91ad                      C:\WINDOWS\SYSTEM32\ntdll.dll+00168365[ 10] 0x00000000777a8baf                      C:\WINDOWS\SYSTEM32\ntdll.dll+00101295[ 11] 0x00000000777a91a8                      C:\WINDOWS\SYSTEM32\ntdll.dll+00102824[ 12] 0x000007fefd58b3dd                 C:\WINDOWS\system32\KERNELBASE.dll+00046045[ 13] 0x000007fef11ce92c             C:\MATLAB\2015a\bin\win64\MSVCR110.dll+00387372[ 14] 0x00000000041108cb            C:\MATLAB\2015a\bin\win64\libmwi18n.dll+00264395[ 15] 0x000000000411ff8a            C:\MATLAB\2015a\bin\win64\libmwi18n.dll+00327562[ 16] 0x000000000411fe00            C:\MATLAB\2015a\bin\win64\libmwi18n.dll+00327168[ 17] 0x00000000faa55f1b   C:\MATLAB\2015a\bin\win64\libmwnativedialogs.dll+00024347[ 18] 0x00000000fa6584a3           C:\MATLAB\2015a\bin\win64\nativejava.dll+00033955 Examples of user actions resulting in a file dialog displayed in MATLAB are: Click on the ""Open"" button in MATLAB Desktop's Toolstrip. Execute the following script at the command prompt, where?\network\path  is a path on your network:  cd(\network\path)uigetfile  ","Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder. You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it.   Extract the files from the .zip file into the <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.  Delete the .zip file in the <MATLAB> folder.Change Log:July 25, 2017: Initial version of patch",MATLAB,Other,R2015b,25 Jul 2017
