Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
3190646, Incorrect documentation stating unsupported blocks for delay balancing,The documentation incorrectly states that these blocks are unsupported for delay balancing: Triggered Subsystem HDL Cosimulation Data Type Duplicate Decrement To Zero Ground LMS Filter Model Reference To VCD File Magnitude-Angle to Complex  ,"To see the correct set of delay balancing limitations in R2022b, refer to this documentation section:?Delay Balancing Limitations.",HDL Coder,Other,R2023a,25 Jan 2024
3187417, Incorrect Code Generation: Incorrect binary generation for FMU Version 2.0 with automatic data type conversion for single data types,A model exported to an FMU compatible with FMI version 2.0 produces incorrect simulation output when automatic data type conversion is enabled for single  data types at ports. ,,Simulink Compiler ,Incorrect Code Generation,"R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3184686, Simulink.LookupTable objects unable to share struct?data?type,"Multiple? Simulink.LookupTable ?objects are unable to share?struct ?data? types in generated code when the?PreserveDimensions ?storage class property is selected.? For example, for these two??Simulink.LookupTable ?objects,  lut1  and  lut2 ,? the objects share the?struct ?data type, but MATLAB throws an error when you try to generate code. lut1.Table.Value=[1 2 3]  lut2.Table.Value=[2 4 6]?   ",Configure each Simulink.LookupTable?object with a unique Name?value for the property StructTypeInfo.,Simulink,Other,"R2022b Update 8, R2023a Update 6, R2024a",21 Mar 2024
3180307, The function?mvncdf?might incorrectly error when passed gpuArray inputs,"The function? mvncdf ?might incorrectly throw the following error when passed  gpuArray  inputs containing some edge case values: ?Error using log  LOG: needs to return a complex result,  but this is not supported for real input X on the GPU.  Use LOG(COMPLEX(X)) instead.  ",,Statistics and Machine Learning Toolbox,Other,"R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3176587, Build log from SIL/PIL simulation incorrectly reports Compilation artifacts were out of date,"Suppose code is already generated and up to date, and you run a top-model software-in-the-loop (SIL) or processor-in-the-loop (PIL) simulation for a second time, the build log indicates that top-model artifacts were out of date. For example:? BuildSummary  Topmodel targets built:  Model?????Action????????? RebuildReason? ? ? ? ? ? ? ? ? ? ? ? ??  ====================================================================  mBuildTop?Code compiled.? Compilation artifacts were out of date.?    Although the compilation artifacts for the top model were not modified by the second build process, the log incorrectly displays this Rebuild Reason  message: Compilation artifacts were out of date.   ",,Simulink Coder,Other,"R2022b Update 8, R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3176370, Incorrect Code Generation: HDL Coder may generate incorrect code when a reused subsystem in a feedback loop introduces more latency than the available latency budget in the loop,The generated HDL code may be incorrect when all  these conditions are met:The model contains identical Simulink subsystems that generate a single file due to code reuse. At least one of these reused subsystems is part of a feedback loop. The reused subsystem(s) within the loop introduces latency that exceeds the available latency budget (design delays) in the loop.   ,"To verify the correctness of the generated HDL code:Generate a validation model.Check if there is any numerical mismatch.If mismatches are found, increase the design delays in the feedback loop to absorb the extra latency. If mismatches persist, refer to the Delay Balancing report to identify any model or block settings that may be preventing the extra latency from being absorbed. Note that this information is available from R2023b onwards.",HDL Coder,Incorrect Code Generation,"R2023a Update 6, R2023b Update 7, R2024a",21 Mar 2024
3176040, Trace matrix for Simulink model comparison incorrectly references script hRptEvalXMLQualkit.m,"Artifact?Simulink Model Comparison Trace Matrix  (mathworks_slcmp_trace .xlsx ) incorrectly references file hRptEvalXMLQualkit.m , which does not ship with the DO Qualification Kit.",,DO Qualification Kit,Other,"R2022b Update 8, R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3167643, Frequently setting UI component properties might crash or stall long-running apps,"Any app that frequently updates components will consume increasing memory over time, possibly leading to a crash. You can observe this issue in the memory data of Task Manager on Windows, or Activity Monitor on Mac, or any process monitoring app on your Linux distribution.",,MATLAB,Other,"R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3166202, UDP Send block ignores UDP packet size parameter value,"The UDP Send block parameter ""'UDP packet size'' setting is ignored, and not changing the packet size as expected. The size of the sent packet is always the default 512 bytes.? This issue also occurs when programmatically setting the OutputDatagramPacketSize  parameter.",,Instrument Control Toolbox,Other,"R2022b Update 8, R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3164667," Model block with initialize, reinitialize, reset, or terminate port produces incorrect simulation results in rapid accelerator mode","Simulation results might be incorrect if all the following conditions occur:? The model is set to simulate in rapid accelerator mode. The model contains a Model block with?Show model initialize port  ,?Show model reinitialize ports,? Show model reset ports  , or Show model terminate port   option selected. The Model block has Schedule rates   option deselected. The top model uses variable step solver or has the configuration parameter Treat each discrete rate as a separate task  deselected. Alternatively,?get_param(model,'SolverMode') ?returns?'SingleTasking' . The referenced model contains only one discrete periodic sample time. The signal driving the initialize, reinitialize, reset, or terminate port of the Model block has different discrete periodic sample time than the discrete periodic sample time set for the referenced model.  You might observe that the Model block executes on the sample hits that are common in both the signal driving the initialize, reset, or terminate port, and the referenced model, instead of executing solely on the sample hits set for the referenced model.",,Simulink,Other,"R2022a Update 8, R2022b Update 8, R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3163100, Test case IDs in the Simulink Test trace matrix do not match the IDs provided in the title for the test case in Test Manager,"When viewed by using the Simulink Test Test Manager, the ID identified in the title of the test case does not match the test case ID in the Simulink Test trace matrix. Affected tests include: tCov1  tCov2  tCov3  tCov4  tCov5  tCov6  tCov7  tCov8  tCov9  tCov11  tCov12  tCov13  tCov14?   ","Update the test case IDs in artifact Simulink Test - Trace Matrix to match the IDs in the title of the test case.?Depending on the release version, use trace matrix file:? ?For R2023a and earlier, use qualkitdo_sltest_trace.xlsxFor R2023b and later, use mathworks_sltest_trace.xlsxIn the trace matrix, open these worksheets and update the ID:?tCov1, replace SLT_COV_010 with SLT_COV_001tCov2, replace SLT_COV_020 with SLT_COV_002tCov3, replace SLT_COV_030 with SLT_COV_003tCov4, replace SLT_COV_040 with SLT_COV_004Cov5, replace SLT_COV_050 with SLT_COV_005tCov6, replace SLT_COV_060 with SLT_COV_006tCov7, replace SLT_COV_070 with SLT_COV_007tCov8, replace SLT_COV_080 with SLT_COV_008tCov9, replace SLT_COV_090 with SLT_COV_009tCov11, replace SLT_COV_020 with SLT_COV_011tCov12, replace SLT_COV_050 with SLT_COV_012tCov13, replace SLT_COV_080 with SLT_COV_013tCov14, replace SLT_COV_090 with SLT_COV_014",DO Qualification Kit,Other,"R2022a Update 8, R2022b Update 8, R2023a Update 6, R2023b Update 5, R2024a",21 Mar 2024
3162302, Vehicles at rest might start to move unexpectedly in models that use the Tire (Magic Formula) block or the Rolling Resistance block,"For the Tire (Magic Formula) block and the Rolling Resistance block, when you set?Rolling Resistance ?to? Pressure and velocity dependent (Magic Formula) , the block might unexpectedly generate a force that propels a stationary vehicle. ",Set?Rolling Resistance?to?Constant coefficient or Pressure and velocity dependent (SAE J2452).,Simscape Driveline,Other,"R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3156595," crossentropy, huber, l1loss, and l2loss return incorrect values for masked loss","When you set the NormalizationFactor  option of crossentropy , huber , l1loss , and l2loss  to ""mask-included"" , the functions do not divide by the number of observations when normalizing the loss values.",,Deep Learning Toolbox,Other,"R2022a Update 8, R2022b Update 8, R2023a Update 6, R2023b Update 6, R2024a",21 Mar 2024
3155425, extractFileText fails to extract text from PDF,extractFileText  might skip parts or all of the text in some PDF files where the internal structure contains one or more of the following: XObjects using the same name as other XObjects? XObjects that do not have a /Type  entry    ,,Text Analytics Toolbox,Other,"R2022b Update 8, R2023a Update 6, R2023b Update 5, R2024a",21 Mar 2024
3154873, Setting InputPipeline on subsystem introduces twice the number of latency cycles than expected,"When HDL block property InputPipeline  is set to X, HDL Coder introduces X cycles of latency. However, it may introduce 2X cycles of latency under all  these conditions: InputPipeline  is configured for the subsystem that is supposed to be flattened. This means that FlattenHierarchy  is set to on  for either the subsystem itself or one of its parent subsystems. A fan-out signal, which drives multiple inputs of the subsystem, is present.  ",,HDL Coder,Other,"R2022b Update 8, R2023a Update 6, R2023b Update 5, R2024a",21 Mar 2024
3142128, Missing operational requirement in the Polyspace Code Prover traceability matrix,The Polyspace Code Prover traceability matrix (matrix_to_req.xlx ) in the DO Qualification Kit does not include mapping between the test cases and these operational requirements: HLR-3-CP Check Colors Are Sound HLR-4-CP Call Graphs HLR-5-CP Call Graphs Are Sound HLR-6-1-CP Data Dictionary HLR-6-2-CP Data Accesses Referenced in Dictionaries Are Sound HLR-6-3-CP Shared Statuses Referenced in Dictionaries Are Sound HLR-13-CP Stack Usage Metrics HLR-21-CP Outputs HLR-31-*-CP Abnormal Operating Modes  ,An updated traceability matrix (matrix_to_req.xlx) is attached to this bug report.,DO Qualification Kit,Other,"R2022a Update 8, R2023a Update 6, R2023b Update 5, R2024a",21 Mar 2024
