Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
2921336, Performance issues for Simulink models with many instances of models referenced in normal mode,"Simulating, generating code, or updating the diagram might have poor performance for model hierarchies that have many Model blocks that simulate in normal mode and reference the same model. The behavior depends on the size of the referenced models and the number of Model blocks that reference them. When a model hierarchy has hundreds or thousands of instances of the same referenced model, and the instances simulate in normal mode, MATLAB might hang or crash.","For most of the Model blocks, set the?Simulation mode?block parameter to Accelerator. Alternatively, in the Simulink Toolstrip, change the simulation mode of the top model from Normal to Accelerator. When a model simulates in accelerator mode, its referenced models also simulate in accelerator mode.In R2021a Update 8, you can enable an optimization manually that improves the performance of models with many instances of referenced models that simulate in normal mode. To turn this optimization on, enter this command in the MATLAB Command Window.Simulink.ModelReference.enableMultiInstanceModelRefOptimization?To turn the optimization off, enter this command in the MATLAB Command Window.Simulink.ModelReference.disableMultiInstanceModelRefOptimizationThis optimization happens automatically in subsequent releases, starting with R2021b.",Simulink,Other,"R2021a Update 8, R2021b",02 Mar 2023
2916581, Incorrect Code Generation: Moore charts might step more than once per time step during simulation,"During Normal or Accelerator mode simulation, Moore semantics charts with two or more levels of state hierarchy might step more than once per time step. Code generated from such models is not affected by this bug. ",,Stateflow,Incorrect Code Generation,"R2021a Update 8, R2021b Update 6, R2022a Update 7, R2022b Update 5, R2023a",26 Oct 2023
2900179, Velocity predicted by SGP4 orbit propagator in satellite scenario is incorrect,"When a satellite is assigned the SGP4 orbit propagator in a satellite scenario, the magnitude of the velocity prediction for this satellite might deviate by about 2 m/s, for example: >> sc = satelliteScenario;?  >> sat = satellite(sc,""eccentricOrbitSatellite.tle"",OrbitPropagator=""sgp4"");?  >> [p,v] = states(sat,sc.StartTime);?  >> disp(v);  ",,Aerospace Toolbox,Other,"R2021a Update 8, R2021b Update 6, R2022a Update 7, R2022b Update 5, R2023a",30 Oct 2023
2891944, Code generation halts with error:?Unrecognized function or variable rtNaN,Code generation halts with error: Unrecognized function or variable rtNaN  This error indicates that a code generation failure occurred for the model construct where the output signal from a rate transition block splits and provides input into two or more different asynchronous function call subsystems. ,"To resolve this code generation error, you can apply either of these solutions:Split the signal before the rate transition block. Use a rate transition for each signal that is input to the asynchronous function call subsystems.In Configuration Parameters > Solver > Solver details, enable Automatically handle rate transition for data transfer after removing the rate transition block(s) at the split(s).",Simulink Real-Time,Other,"R2021a Update 8, R2021b Update 5, R2022a Update 7, R2022b Update 5, R2023a",27 Jul 2023
2884801, Incorrect Code Generation: gradient?with two inputs might not apply a scalar spacing input correctly,"If?F  is not a vector and h  is a scalar, ?[dx,dy,...] = gradient(F,h)   only applies the spacing h  to the dx  output. Su bsequent outputs are computed with a spacing of 1 . MATLAB execution computes all outputs with the spacing h . ","Do any one of the following:?Apply the spacing manually:? [dx,dy,...] = gradient(F/h).Supply the scalar h?input for each dimension of F.? For example, if?F?is 3-D,??[dx,dy,dz] = gradient(F,h,h,h).","Simulink Coder, MATLAB Coder",Incorrect Code Generation,"R2021a Update 8, R2021b Update 5, R2022a Update 6, R2022b Update 4, R2023a",15 Mar 2023
2884198, Generated code might contain MISRA C:2012 Rule 2.2 violation,The generated code might contain a MISRA C:2012 Rule 2.2 violation for a model that has Optimize global data access ?configuration parameter set to Minimize global data access .  The violation occurs because of the presence of dead code in the generated code. ,Set the configuration parameter Optimize global data access?to either None?or Use global to hold temporary results.,Embedded Coder,Other,"R2021a Update 8, R2021b Update 7, R2022a Update 7, R2022b Update 5, R2023a, R2023b",13 Sep 2023
2882991, Internal assertion occurred during the HDL code generation when you use Selector block for selecting signal from Bus ports,"When your model containing a Selector block that is used to select or de-mux signal from bus ports by setting the Selector block parameter?Index Option ?to?Index vector (port)or Starting index (port) , HDL code generation fails with the following internal assertion error:? Assertion Failed With Debug Message: B:\ matlab\ src\ cgir_hdl\ pir_transforms\ CoreCompLowering. hpp:90:  To select or de-mux signal from bus ports, use Bus Selector block.?? ",Consider using Bus Selector block when selecting or de-muxing signal from bus ports.,HDL Coder,Other,"R2021a Update 8, R2022b Update 6, R2023a",31 Oct 2023
2878869, Genomics Viewer opens blank,"After opening the Genomics Viewer  app, the app window appears blank.","In some cases, closing and reopening the app might reload it correctly.",Bioinformatics Toolbox,Other,"R2021a Update 8, R2021b Update 5, R2022a Update 6, R2022b Update 4, R2023a",20 Oct 2023
2875368, Simulink models with Assignment block inside nested iterator subsystems might trigger incorrect warnings or errors,Simulink models with an Assignment block inside nested iterator subsystems might trigger a warning or error that should not occur. This issue might happen when all of these conditions are true: The Assignment block is inside nested For or While Iterator subsystems. The Index Option  parameter is Index Vector (Port)  or Starting Index (Port) .  The Initialize Output (Y)  is Specify size for each dimension in table .  The Action if any output element is not assigned  ?parameter is??Error  or  Warning .  All output signal elements of the Assignment block are assigned after the top-level subsystem completes each step.  An example of an error message that displays in the Diagnostic Viewer is: An error occurred while running the simulation and the simulation was terminated  Caused by:  At least 1 element in the output signal of <path_to_Assignment_block> has not been assigned   ,,Simulink,Other,"R2021a Update 8, R2022b Update 9, R2023a",02 Apr 2024
2867156," datetime time zones do not reflect recent changes to the IANA time zone database, including time zones in Mexico","MATLAB uses the IANA time zones database for up-to-date time zone information. MATLAB is missing recent updates to this database. As of the R2022b general release, MATLAB includes database version 2022a. However, in R2022b MATLAB does not include the 2022f version of the IANA database, which also captures time zone updates from database versions 2022b, 2022c, 2022d, and 2022e. Most notably, these updates include changes to a number of time zones which no longer observe daylight saving time (DST). For example, in October 2022 the government of Mexico announced that the country no longer observes DST except near the US border.?The time zone data in MATLAB does not reflect this recent change. IANA Time Zone Database:?https://www.iana.org/time-zones  In versions of MATLAB that do not have these changes, datetime  arrays in what used to be the DST period will have incorrect UTC offsets. Specifically, they will be one hour ahead of the actual times in those time zones. ","If possible, update to a release with an IANA time zone database version of 2022f or later.To check the IANA time zone database version in MATLAB, use the second output of the timezones function. When the database is up to date, the second output is '2022f'.>> [~,vers] = timezones vers =    '2022f'https://www.mathworks.com/help/matlab/ref/timezones.htmlIf you are unable to update to a newer release, you can obtain the correct time zone information for datetime arrays on or after October 30th 2022 (where the desired time zone is in Mexico) by using?the corresponding fixed time zone offset. For example, replace the time zone 'America/Chihuahua'?with the time zone 'UTC-6' on or after?October 30th, 2022.",MATLAB,Other,"R2021a Update 8, R2021b Update 5, R2022a Update 6, R2022b Update 4, R2023a",15 Mar 2023
2863301, Incorrect Code Generation: Enabled Subsystem block with virtual outport might output an uninitialized value in Accelerator mode,"When you run a model in Accelerator mode where all of the following conditions are true, Simulink might output an uninitialized value from the Enabled Subsystem block. The Enabled Subsystem block: Has a ground signal input to its?Enable ?port. Contains a Constant block connected to an Outport block with?Ensure outport is virtual ?check box selected. Is connected to a Bus Creator block.  ?The Bus Creator block: Creates a bus with one element. Has the?Output has nonvirtual bus ?check box selected. Is connected to an Outport block.   ",,Simulink,Incorrect Code Generation,"R2021a Update 8, R2021b Update 6, R2022a Update 7, R2022b Update 5, R2023a",26 Oct 2023
