Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
2318644, ismembertol and uniquetol leak memory,ismembertol  leaks memory for all input combinations. uniquetol  leaks memory when the first input has more than one column and the 'ByRows'  name-value pair is not specified.  ,"To work around this issue, use the below functions instead of ismembertol or uniquetol:function [C,IA,IC] = myuniquetol(varargin)[C,IA,IC] = builtin('uniquetol',varargin{:});endfunction [LIA,LOCB] = myismembertol(varargin)[LIA,LOCB] = builtin('ismembertol',varargin{:});endYou can alternatively name these replacement functions ismembertol and uniquetol to override the built-in functions with the replacement functions.?However, this generates a warning about a name conflict.",MATLAB,Other,R2016b,14 Sep 2020
1890710, Incorrect Code Generation: Missing assignment to exported function output,"In generated code, the output of a Stateflow exported function is returned but incorrectly not assigned to a variable when all of the following conditions are true: The exported function is called from another chart? Allow exported functions to be called by Simulink ?is enabled for the calling chart? Allow exported functions to be called by Simulink ?is disabled for?the callee chart The function packaging for the callee chart is set to ""Auto"" or ""Reusable Function""  ",,Stateflow,Incorrect Code Generation,R2016b,29 Nov 2018
1870347, Incorrect Code Generation: Compiling generated code can throw a macro re-definition warning,"Embedded Coder throws a ""macro re-defined""  warning when compiling the generated code of a model with all these properties: CustomSymbolStrMacro  set to a non-default value with length equal to MaxIdLength - 7  InlinedPrmAccess  set to Macro   The model may also contain blocks like Data Store Memory and Discrete Integrator. ",,Embedded Coder,Incorrect Code Generation,"R2016b Update 7, R2017a Update 4, R2018b Update 1, R2019a",23 Oct 2019
1867802, Incorrect Code Generation: Generated AUTOSAR C code uses uninitialized local variables for explicit writes,"An AUTOSAR top model generates RTE write function calls that use uninitialized local variables if all of the following conditions are true: The model writes outputs of a referenced model to root outports. The root outports are configured for AUTOSAR data access mode ExplicitSend . Model initialization for the referenced model does not initialize outputs.  Under these conditions, the generated initialization code for the top model contains uninitialized stack variables, which RTE write function calls incorrectly write to root outports. ","Insert Signal Conversion blocks between the referenced model outputs and the root outports. In each Signal Conversion block, set Output to Signal copy (the default) and select the option Exclude this block from 'Block reduction' optimization.",Embedded Coder,Incorrect Code Generation,"R2016b Update 7, R2018b Update 5, R2019a",16 Aug 2019
1855441, Simulink Web View shows a blank page when viewed on Google Chrome version 68 or later,Simulink Web View generated in Simulink Report Generator versions R2014b through R2016a shows a blank page when viewed on Google Chrome versions 68 and later. This error appears on the Google Chrome console:? Uncaught ReferenceError: normal is not defined  ,"Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.To avoid having to re-export your models, run these commands after installing the above workaround.Update the exported Web View zip file, where webviewZipFile is the file path to an existing Simulink Web View zip file.   update_slwebview(webviewZipFile) Update the exported Web View HTML, where webviewFolder is the folder path to an existing Simulink Web View.   update_slwebview(webviewFolder) ",Simulink Report Generator,Other,R2016b,10 Mar 2021
1852243, Incorrect Code Generation: Lookup Table (n-D) blocks incorrectly share same lookupnd function?for some heterogeneous fixed-point inputs and floating-point breakpoints,"Lookup Table (n-D) blocks might incorrectly share the?same lookupnd  function?for some heterogeneous fixed-point inputs and floating-point breakpoints?when the following conditions are true for two or more Lookup Table?(n-D) blocks in a model: The breakpoints are double or single floating-point data types. The inputs are fixed-point data types with same?container word length, different?fixed exponent.   The incorrectly shared lookupnd  function might lead to wrong results?from the generated code in accelerator and rapid accelerator modes, and in all production targets. ","Cast the fixed-point input?of Lookup n-D blocks to have the same floating-point data type as breakpoint, i.e., insert a data type conversion block before the?input?of Lookup n-D block that generates wrong result.",Simulink,Incorrect Code Generation,"R2016b Update 7, R2018b Update 3, R2019a",18 Sep 2023
1849460, Incorrect Code Generation: Mismatch in behavior with MATLAB when using element-wise multiplication (.*) that mixes double and int64 or uint64 inputs,"The generated code can produce a wrong answer if your MATLAB code contains an element-wise multiplication?(.*) ?that mixes?double ?and?int64 ?or?uint64 ?inputs. This issue occurs?when all of the following conditions are true:? One input is?double ?and the other is?either?int64 ?or?uint64.  The?double ?input has absolute value greater than or equal to 2^52.  The? int64 ?or?uint64  input has absolute value less than  2^12.   This issue affects MATLAB Coder, MATLAB Function blocks and MATLAB System blocks in Simulink, and MATLAB functions in Stateflow. See also Bug Report ID 1794275 . ",,MATLAB Coder,Incorrect Code Generation,"R2016b Update 7, R2018b Update 3, R2019a",20 Mar 2019
1844615," Security Issue: October 2018 security updates for R2013b – R2018a MATLAB, Polyspace, and MATLAB Compiler and Runtime","Important security updates are available for R2013b–R2018a.   If you are using R2018b, no action is required. This release contains cumulative security updates.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download updates linked in the table below.  MATLAB and Polyspace  R2013b–R2018a have updates available.             Release       Products       Solution                     R2018b       All updates included       No action required                R2018a       MATLAB and Polyspace       Download R2018a Update 6                 R2017b       MATLAB and Polyspace       Download R2017b Update 9                 R2017a       MATLAB and Polyspace       Download R2017a Update 3                 R2016b       MATLAB and Polyspace       Download R2016b Update 6                 R2016a       MATLAB and Polyspace       Download R2016a Update 7                 R2015b       Polyspace       Download R2015b Update 1                 R2015a SP1       Polyspace       Download R2015a SP1 Update 3                 R2013b–R2015a       Polyspace       See Bug Report ID 1843737           For more information about these updates, see:   MATLAB Bug Report ID 1830808    Polyspace Bug Report ID 1843737   MATLAB Compiler and Runtime  Security updates are available for MATLAB apps (.mlapp) deployed using MATLAB Runtime R2016a–R2017a. To determine if updates apply to your app, including apps you have deployed to third parties, see the MATLAB Compiler Bug Report ID 1830810 .             MATLAB Runtime Release       Solution                     R2017b–R2018b       No action required                R2017a       Download the MATLAB Runtime Update                 R2016b       Download the MATLAB Runtime Update                 R2016a       Download the MATLAB Runtime Update           Ignore the Exists in  table at the end of this report. Version and product information is documented above. ",,MATLAB,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1843737, Security Issue: Running Polyspace or MATLAB with Polyspace installed for R2013b – R2018a may allow remote code execution,"Security updates are available for R2013b–R2018a. Running MATLAB with Polyspace installed may allow remote code execution.   If you are using R2018b, no action is required. This release is not affected.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download security updates linked in the table below.              Release       Solution                     R2018b       No action required                R2018a       Download R2018a Update 6                 R2017b       Download R2017b Update 9                 R2017a       Download R2017a Update 3                 R2016b       Download R2016b Update 6                 R2016a       Download R2016a Update 7                 R2015b       Download R2015b Update 1                 R2015a SP1       Download R2015a SP1 Update 3                 R2013b–R2015a       See the Workaround  section below          ","For R2013b–R2015a, download the attachment and follow the instructions below.Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.",Polyspace Bug Finder,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1835839, Slow model compilation for output signals nested in large virtual buses,"Update diagram, simulation, and code generation may be slow when an atomic subsystem or model has an output signal nested in a large virtual bus. These processes may display status ""Compiling: Setting up implicit testpoints: Completed""  for longer than expected. These conditions may contribute to slow model compilation: Specifying?'inf'  for the sample time of a Constant block.  Having this Constant block connect directly?to an Outport block in a conditional subsystem.  ",,Simulink,Other,"R2016b Update 7, R2018b Update 1, R2019a",20 Mar 2019
