Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
2124166," Incorrect Code Generation: When written to fixed-point data, Stateflow treats output of custom code function as a stored integer","If you directly assign the value returned by a custom code function to a Stateflow Data object of fixed-point type, Stateflow treats that value as a stored integer, rather than a real world value. In both simulation and generated code, the value is cast as an unsigned integer of appropriate size and then written to the Data object. ",First assign the value returned by the custom code function to a local Stateflow Data object of type unsigned int of appropriate size. Then assign this local data to the Stateflow Data object of fixed-point type.?,Stateflow,Incorrect Code Generation,R2017a,10 Dec 2019
2009399, MATLAB might crash when loading a MAT file,MATLAB might crash when loading a MAT file that was corrupted when last saved. The generated stack trace begins with lines similar to: Stack Trace (from fault):[  0] 0x00000000f8dd0642 C:\Program Files\MATLAB\R2016b\bin\win64\libmat.dll+00067138 writeMATHeader+00002578[  1] 0x00000000f8dd6627 C:\Program Files\MATLAB\R2016b\bin\win64\libmat.dll+00091687 matClose+00000055[  2] 0x00000000ed2232f6 C:\Program Files\MATLAB\R2016b\bin\win64\saveload.dll+00078582[  3] 0x00007ffcb3886920 C:\Program Files\MATLAB\R2016b\bin\win64\MSVCR120.dll+00420128 _unDNameEx+00000616? ,,MATLAB,Other,R2017a,29 May 2019
1980151, Using importdata?or double clicking any data file crashes MATLAB??on macOS,"On macOS Mojave 10.14.4, using importdata  or double clicking a data file (for example, .doc, .txt, audio, video, image) in the current folder browser crashes MATLAB?.  The stack trace from the crash includes lines similar to these: 0x000000016df07403 bin/maci64/reader/libmwquicktimekitplugin.dylib+00005123 _ZN11qtkitplugin22GetSupportedFormatsFcnclEv+00000067  0x000000016df07e97 bin/maci64/reader/libmwquicktimekitplugin.dylib+00007831 _ZN11qtkitplugin9QTInvoker15runOnMainThreadEPv+00000023  ","Upgrade MATLAB? to the latest release.?If you need to use older releases, then follow these steps:?Log in to an account with appropriate permissions to overwrite files in your MATLAB??installation.Locate your MATLAB??installation by typing matlabroot at the MATLAB??command prompt. This folder is referred to as <MATLAB> in subsequent steps. The folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.appExit MATLAB?.Go to??<MATLAB>/toolbox/shared/multimedia/bin/maci64/reader.Rename libmwquicktimekitplugin.dylib. to libmwquicktimekitplugin.dylib.oldLaunch MATLAB?.??Note that after you implement this workaround MATLAB? will not be able to import certain types of video files, for example: Sorenson and Cinepak.",MATLAB,Other,R2017a,23 Apr 2019
1970152, Incorrect Code Generation: Incorrect execution order when Merge block is in a function-call feedback loop,"When all of following conditions are met, relative execution order of source and destination blocks of a Merge block might be incorrect: The Merge block is inside a Function-Call Subsystem block.? The output signal for the Merge block is branched. One destination is directly connected to an Outport block that feeds back to the input of the same function-call subsystem. The other destination connects to a non-virtual block inside this function-call subsystem. The Merge block has non-virtual source blocks inside this function-call subsystem.? When the Configuration Parameter Diagnostics  > Data Validity  > Underspecified initialization detection  is set to either:  Classic .  Simplified  and the Outport block directly connected to the Merge block has its Source of initial output value  parameter set to Input signal , or Source of initial output value  is set to Dialog  and Initial output  is set to [] .   In this case, the destination non-virtual block of the Merge block might be executed before the source block. ",Insert a Signal Conversion block between the Merge block output connected to an Outport block.,Simulink,Incorrect Code Generation,"R2017a Update 4, R2019a Update 4, R2019b",23 Oct 2019
1922906, Incorrect Code Generation: Functions imported from Simulink into a Stateflow Chart may not be called if the Chart contains a comment with certain Unicode characters,Simulink Functions called from Stateflow might not be called properly when all of the following conditions are true: The chart uses C Action Language The function?is defined in a Simulink Function block at the Simulink model level.  The State actions or Transition labels which call the function also have code comments containing at least one Unicode character that does not have an ASCII character equivalent. The function call?is?after the Unicode comment.??  Any side-effects of the function call will not happen and the function will always return 0. No warning or notification is given to the user. This affects both simulation and code generation. ,You can use either of the following to work around this issue:Remove comments containing Unicode characters from State actions and Transition labels.Move the Simulink Function Block inside the Stateflow Chart.,Stateflow,Incorrect Code Generation,"R2017a Update 4, R2018b Update 3, R2019a",23 Oct 2019
1872404, Error during parallel build of model hierarchy,"MATLAB throws an error during simulation or code generation when all of the following conditions are true: Configuration parameter Enable parallel model reference rebuilds  is selected for the top model. The model hierarchy has at least three levels, including the top model. Simulation or code generation builds simulation targets for all referenced models in the hierarchy. The slprj folder and MEX files are removed after the build. The original simulation cache folder is moved, deleted, or renamed. The new simulation cache folder is missing a Simulink cache file for a referenced model and contains the Simulink cache file for its parent model. The Simulink cache file of the parent model was created by a parallel build.  The subsequent build aborts with this error:     Error using RTW/transformPaths>locFindmissingPathAndthrowException    The path 'C:\myWorkingFolder\slprj\sim\MidModel' does not exist. - Show complete stack trace        Error using RTW/transformPaths        The path does not exist - Show complete stack trace?    Error while bringing model references of model TopModel up to date:  see errors reported above for details.? ",,Simulink,Other,"R2017a Update 4, R2018b Update 1, R2019a",23 Oct 2019
1870347, Incorrect Code Generation: Compiling generated code can throw a macro re-definition warning,"Embedded Coder throws a ""macro re-defined""  warning when compiling the generated code of a model with all these properties: CustomSymbolStrMacro  set to a non-default value with length equal to MaxIdLength - 7  InlinedPrmAccess  set to Macro   The model may also contain blocks like Data Store Memory and Discrete Integrator. ",,Embedded Coder,Incorrect Code Generation,"R2016b Update 7, R2017a Update 4, R2018b Update 1, R2019a",23 Oct 2019
1868474, Incorrect Code Generation: Incorrect representation of down-counting array subscript with constant unsigned start and stop value,"The simulation and code generation behavior of MATLAB Function blocks, MATLAB System blocks, and MATLAB functions in Stateflow might incorrectly represent a colon expression used to subscript an array when?the colon expression?satisfies all of the following conditions: The starting, increment, and ending values are compile-time constants The starting and ending values have an unsigned integer type The increment value is negative  For example, consider model_example_1868474.slx  in the attached file issue_example_1868474.zip . This model contains a MATLAB Function block with the content: function issue_1868474()A=[17    24     1     8    15;   23     5     7    14    16;    4     6    13    20    22;   10    12    19    21     3;   11    18    25     2     9]; temp = A(uint32(10):-1:uint32(2));showTemp(temp);end function showTemp(temp)coder.inline('never');disp(temp);end Executing?this code in MATLAB produces the correct output:? 18 ? ?12 ? ? 6 ? ? 5 ? ?24 ? ?11 ? ?10 ? ? 4 ? ?23  Executing the Simulink model , you get an incorrect output:  18 ? ?18 ? ?18 ? ?18 ? ?18 ? ?18 ? ?18 ? ?18 ? ?18  Execution of code generated from the Simulink model also produces an incorrect output. See also Bug Report ID 1452753 . ",Use a signed integer type for the starting and ending values of the colon expression.function issue_1868474()A=[17    24     1     8    15;       23     5     7    14    16;    4     6    13    20    22;   10    12    19    21     3;   11    18    25     2     9]; temp = A(int32(10):-1:int32(2));end function showTemp(temp)coder.inline('never');disp(temp);endThis can be seen in model_workaround_1868474.slx in the attached file issue_example_1868474.zip.,Simulink,Incorrect Code Generation,R2017a,10 Jan 2019
1844615," Security Issue: October 2018 security updates for R2013b 每 R2018a MATLAB, Polyspace, and MATLAB Compiler and Runtime","Important security updates are available for R2013b每R2018a.   If you are using R2018b, no action is required. This release contains cumulative security updates.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download updates linked in the table below.  MATLAB and Polyspace  R2013b每R2018a have updates available.             Release       Products       Solution                     R2018b       All updates included       No action required                R2018a       MATLAB and Polyspace       Download R2018a Update 6                 R2017b       MATLAB and Polyspace       Download R2017b Update 9                 R2017a       MATLAB and Polyspace       Download R2017a Update 3                 R2016b       MATLAB and Polyspace       Download R2016b Update 6                 R2016a       MATLAB and Polyspace       Download R2016a Update 7                 R2015b       Polyspace       Download R2015b Update 1                 R2015a SP1       Polyspace       Download R2015a SP1 Update 3                 R2013b每R2015a       Polyspace       See Bug Report ID 1843737           For more information about these updates, see:   MATLAB Bug Report ID 1830808    Polyspace Bug Report ID 1843737   MATLAB Compiler and Runtime  Security updates are available for MATLAB apps (.mlapp) deployed using MATLAB Runtime R2016a每R2017a. To determine if updates apply to your app, including apps you have deployed to third parties, see the MATLAB Compiler Bug Report ID 1830810 .             MATLAB Runtime Release       Solution                     R2017b每R2018b       No action required                R2017a       Download the MATLAB Runtime Update                 R2016b       Download the MATLAB Runtime Update                 R2016a       Download the MATLAB Runtime Update           Ignore the Exists in  table at the end of this report. Version and product information is documented above. ",,MATLAB,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1843737, Security Issue: Running Polyspace or MATLAB with Polyspace installed for R2013b 每 R2018a may allow remote code execution,"Security updates are available for R2013b每R2018a. Running MATLAB with Polyspace installed may allow remote code execution.   If you are using R2018b, no action is required. This release is not affected.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download security updates linked in the table below.              Release       Solution                     R2018b       No action required                R2018a       Download R2018a Update 6                 R2017b       Download R2017b Update 9                 R2017a       Download R2017a Update 3                 R2016b       Download R2016b Update 6                 R2016a       Download R2016a Update 7                 R2015b       Download R2015b Update 1                 R2015a SP1       Download R2015a SP1 Update 3                 R2013b每R2015a       See the Workaround  section below          ","For R2013b每R2015a, download the attachment and follow the instructions below.Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.",Polyspace Bug Finder,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
