Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
2080118, Incorrect Code Generation: Order of generated code is partially swapped for chain of three or more inlined atomic subsystems with reusable child subsystems,"Order of generated code is partially swapped when all of these conditions are true: The model configuration parameter?Simulink block comments ?is selected. At least three atomic subsystems are connected in a chain with or without intermediate blocks. The first two atomic subsystems have the Function packaging  block parameter set to Auto  or Inline . All three atomic subsystems have a child atomic subsystem with reusable? the Function packaging  block parameter set to Reusable function . Data input to the reusable child atomic subsystem in the second and third parent atomic subsystems: Comes from a signal line with a non-auto storage class, and The non-auto storage class is specified outside the reusable child atomic subsystem, for example in the parent atomic subsystem.  In the final generated code, the function calls corresponding to the three child atomic subsystems do not contain code statements between them.  This swap in the order of generated code can lead to incorrect results, such as the second reusable function call occurring before the first reusable function call. ",,Embedded Coder,Incorrect Code Generation,R2017b,23 Dec 2019
1981675, Incorrect Code Generation: Uninitialized variables in the generated code with reusable functions and Bus Selector blocks,"?Generated code for a model might have uninitialized variables when all of the following conditions apply: The model contains an atomic subsystem that has the Function packaging ?parameter?set to?Reusable function . A Bus Selector block with a nonvirtual bus input connects directly, or through virtual blocks, to the input or output port of this subsystem.  ",Insert a Signal Copy block at the input port and all output ports of the Bus Selector block.,Simulink,Incorrect Code Generation,R2017b,18 Dec 2019
1927585, Assertion error when updating model containing coding pattern that indexes into a matrix using unsigned integers,"Simulink might display an assertion error when updating a model containing a MATLAB Function Block, MATLAB System Block, or MATLAB function in Stateflow that?indexes into a matrix using unsigned integers. The assertion error contains the following text? failed assertion in b:\matlab\src\cg_ir\expr\indexexpranalysis\indexinfo.cpp ?at line 147:?  ConstTools::fitsInTypePrecisely(fxpDV, typeForConst)  For an example see issue_model_1927585  in the attached issue_example_1927585.zip . Note in this model that idxVec  is a vector of uint32.  ",To workaround the issue instead index into the matrix using signed integers. See workaround_model_1927585 that avoids the error. In this model idxVec is a vector of int32.,Simulink,Other,R2017b,03 Jan 2019
1900003," Cloning repository from GitHub fails with ""cannot open git-upload-pack"" error","When you attempt to clone or pull a GitHub repository over HTTPS, the operation fails with the error message: Cannot open git-upload-pack . ",You can use the same workaround as this bug report:?https://www.mathworks.com/support/bugreports/1741173,MATLAB,Other,R2017b,24 Dec 2018
1872836, Saturate on overflow diagnostic is ignored in Stateflow,The configuration parameter Diagnostics > Data Validity > Saturate on overflow? is ignored by Stateflow. The error or warning is not thrown to the Diagnostic Viewer when the condition is triggered. ,,Stateflow,Other,R2017b,12 Dec 2018
1845756, Serial I/O blocks can cause the target computer to crash sporadically.,"Real-time applications that contain any of the serial I/O blocks can cause the target computer to crash sporadically. To determine whether this issue occurred, inspect the crash info to check whether the crash occurred in fiforead.c . If so, apply the workaround. ","Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder. You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it.   Extract the files from the .zip file into the <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.  Delete the .zip file in the <MATLAB> folder.Change Log:? ?? attachment_1845756_17a_2018_08_28.zip: initial version",Simulink Real-Time,Other,"R2017b, R2018a, R2018b",12 Sep 2018
1844615," Security Issue: October 2018 security updates for R2013b 每 R2018a MATLAB, Polyspace, and MATLAB Compiler and Runtime","Important security updates are available for R2013b每R2018a.   If you are using R2018b, no action is required. This release contains cumulative security updates.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download updates linked in the table below.  MATLAB and Polyspace  R2013b每R2018a have updates available.             Release       Products       Solution                     R2018b       All updates included       No action required                R2018a       MATLAB and Polyspace       Download R2018a Update 6                 R2017b       MATLAB and Polyspace       Download R2017b Update 9                 R2017a       MATLAB and Polyspace       Download R2017a Update 3                 R2016b       MATLAB and Polyspace       Download R2016b Update 6                 R2016a       MATLAB and Polyspace       Download R2016a Update 7                 R2015b       Polyspace       Download R2015b Update 1                 R2015a SP1       Polyspace       Download R2015a SP1 Update 3                 R2013b每R2015a       Polyspace       See Bug Report ID 1843737           For more information about these updates, see:   MATLAB Bug Report ID 1830808    Polyspace Bug Report ID 1843737   MATLAB Compiler and Runtime  Security updates are available for MATLAB apps (.mlapp) deployed using MATLAB Runtime R2016a每R2017a. To determine if updates apply to your app, including apps you have deployed to third parties, see the MATLAB Compiler Bug Report ID 1830810 .             MATLAB Runtime Release       Solution                     R2017b每R2018b       No action required                R2017a       Download the MATLAB Runtime Update                 R2016b       Download the MATLAB Runtime Update                 R2016a       Download the MATLAB Runtime Update           Ignore the Exists in  table at the end of this report. Version and product information is documented above. ",,MATLAB,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1843737, Security Issue: Running Polyspace or MATLAB with Polyspace installed for R2013b 每 R2018a may allow remote code execution,"Security updates are available for R2013b每R2018a. Running MATLAB with Polyspace installed may allow remote code execution.   If you are using R2018b, no action is required. This release is not affected.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download security updates linked in the table below.              Release       Solution                     R2018b       No action required                R2018a       Download R2018a Update 6                 R2017b       Download R2017b Update 9                 R2017a       Download R2017a Update 3                 R2016b       Download R2016b Update 6                 R2016a       Download R2016a Update 7                 R2015b       Download R2015b Update 1                 R2015a SP1       Download R2015a SP1 Update 3                 R2013b每R2015a       See the Workaround  section below          ","For R2013b每R2015a, download the attachment and follow the instructions below.Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.",Polyspace Bug Finder,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1843291, Security Issue: Web administration dashboard for MATLAB Production Server for R2017a 每 R2018a may allow session impersonation or authentication bypass,"Security updates are available for R2017a每R2018a.   If you are using R2018b, no action is required. This release is not affected.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download security updates linked in the table below.  To preserve your configuration, follow the instructions in the Fix  section below before applying the update.             Release       Solution                     R2018b       No action required                R2018a       Download R2018a Update 6                 R2017b       Download R2017b Update 9                 R2017a       Download R2017a Update 3           These updates  apply only if you use the MATLAB Production Server dashboard. If you only create  server instances using the command-line interface, the updates do not apply. ",Remove the MATLAB Production Server dashboard.,MATLAB Production Server,Other,"R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1830810, Security Issue: MATLAB apps (.mlapp) authored with?App Designer?and run with MATLAB? Runtime for R2016a 每 R2017a may allow remote file upload and code execution,"Security updates are available for MATLAB Runtime R2016a每R2017a. This only applies to MATLAB apps (.mlapp) authored with?App Designer ?and run with MATLAB Runtime. If you are using MATLAB Compiler R2016a 每 R2017a you can recompile and redistribute your apps to use MATLAB Runtime R2017b or greater. If you will continue to use R2016a 每 R2017a, downstream app users will need to update their MATLAB Runtime. See the Workaround section below for options to provide the MATLAB Runtime update to app users. The base MATLAB Runtime has not been updated. Future deployed apps will need the MATLAB Runtime updates applied. ",   Update your installed MATLAB Runtime:                      Go to the?MATLAB Runtime Download Web Page?to download and install the appropriate MATLAB Runtime Update.                Inform end-users of your apps about the security updates for MATLAB Runtime.                         Make the MATLAB Runtime Update Installer available to the end-users in either of these ways:                                                  Ask them to download the MATLAB Runtime Update Installer from the?MATLAB Runtime Download Web Page?for the MATLAB version that you are using.                            Share the MATLAB Runtime Update that you downloaded in step 1.                                                     Apply the Update to the installed MATLAB Runtime.             ,MATLAB Compiler,Security Issue,"R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b",23 Oct 2018
